t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,49,-1,17,0.000000,1,315729,1
0.001036,17,50,-1,17,0.001036,2,315729,1
0.002146,17,50,-1,17,0.001110,3,315729,1
0.003160,17,50,-1,17,0.001014,4,315729,1
0.004079,17,50,-1,17,0.000919,5,315729,1
0.005234,17,50,-1,17,0.001155,6,315729,1
0.006075,17,50,-1,17,0.000841,7,315729,1
0.007043,17,50,-1,17,0.000968,8,315729,1
0.008118,17,50,-1,17,0.001075,9,315729,1
0.010281,17,50,-1,17,0.002163,10,315729,1
0.012168,17,50,-1,17,0.001887,11,315729,1
0.014049,17,50,-1,17,0.001881,12,315729,1
0.015884,17,50,-1,17,0.001835,13,315729,1
0.017842,17,50,-1,17,0.001958,14,315729,1
0.019561,17,50,-1,17,0.001719,15,315729,1
0.021483,17,50,-1,17,0.001922,16,315729,1
0.023283,17,50,-1,17,0.001800,17,315729,1
0.025581,17,50,-1,17,0.002298,18,315729,1
0.027369,17,50,-1,17,0.001788,19,315729,1
0.029208,17,50,-1,17,0.001839,20,315729,1
0.031369,17,50,-1,17,0.002161,21,315729,1
0.032926,17,50,-1,17,0.001557,22,315729,1
0.034749,17,50,-1,17,0.001823,23,315729,1
0.036659,17,50,-1,17,0.001910,24,315729,1
0.038858,17,50,-1,17,0.002199,25,315729,1
0.040639,17,50,-1,17,0.001781,26,315729,1
0.042743,17,50,-1,17,0.002104,27,315729,1
0.999134,17,50,-1,17,0.956391,1,315729,1
1.000141,17,50,-1,17,0.001007,2,315729,1
1.001257,17,50,-1,17,0.001116,3,315729,1
1.002358,17,50,-1,17,0.001101,4,315729,1
1.004391,17,50,-1,17,0.002033,5,315729,1
1.006562,17,50,-1,17,0.002171,6,315729,1
1.008368,17,50,-1,17,0.001806,7,315729,1
1.010500,17,50,-1,17,0.002132,8,315729,1
1.012419,17,50,-1,17,0.001919,9,315729,1
1.014528,17,50,-1,17,0.002109,10,315729,1
1.016463,17,50,-1,17,0.001935,11,315729,1
1.018273,17,50,-1,17,0.001810,12,315729,1
1.020231,17,50,-1,17,0.001958,13,315729,1
1.022347,17,50,-1,17,0.002116,14,315729,1
1.024227,17,50,-1,17,0.001880,15,315729,1
1.026388,17,50,-1,17,0.002161,16,315729,1
1.028268,17,50,-1,17,0.001880,17,315729,1
1.030554,17,50,-1,17,0.002286,18,315729,1
1.032271,17,50,-1,17,0.001717,19,315729,1
1.034352,17,50,-1,17,0.002081,20,315729,1
1.036212,17,50,-1,17,0.001860,21,315729,1
1.038236,17,50,-1,17,0.002024,22,315729,1
1.040190,17,50,-1,17,0.001954,23,315729,1
1.042205,17,50,-1,17,0.002015,24,315729,1
1.043768,17,50,-1,17,0.001563,25,315729,1
1.045930,17,50,-1,17,0.002162,26,315729,1
1.047773,17,50,-1,17,0.001843,27,315729,1
2.120653,6,62,-1,6,1.072880,1,315729,1
2.122703,6,62,-1,6,0.002050,2,315729,1
2.124575,6,62,-1,6,0.001872,3,315729,1
2.126807,6,62,-1,6,0.002232,4,315729,1
