t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,2,253469,1
0.001060,17,50,-1,17,0.001060,3,253469,1
0.002710,17,50,-1,17,0.001650,4,253469,1
0.004200,17,50,-1,17,0.001490,5,253469,1
0.005650,17,50,-1,17,0.001450,6,253469,1
0.007093,17,50,-1,17,0.001443,7,253469,1
0.008561,17,50,-1,17,0.001468,8,253469,1
0.009726,17,50,-1,17,0.001165,9,253469,1
0.011230,17,50,-1,17,0.001504,10,253469,1
0.012368,17,50,-1,17,0.001138,11,253469,1
0.013593,17,50,-1,17,0.001225,12,253469,1
0.014718,17,50,-1,17,0.001125,13,253469,1
0.016204,17,50,-1,17,0.001486,14,253469,1
0.017220,17,50,-1,17,0.001016,15,253469,1
0.018272,17,50,-1,17,0.001052,16,253469,1
0.019578,17,50,-1,17,0.001306,17,253469,1
0.020591,17,50,-1,17,0.001013,18,253469,1
0.021757,17,50,-1,17,0.001166,19,253469,1
1.004789,17,50,-1,17,0.983032,2,253469,1
1.005619,17,50,-1,17,0.000830,3,253469,1
1.006928,17,50,-1,17,0.001309,4,253469,1
1.007860,17,50,-1,17,0.000932,5,253469,1
1.008856,17,50,-1,17,0.000996,6,253469,1
1.009786,17,50,-1,17,0.000930,7,253469,1
1.010924,17,50,-1,17,0.001138,8,253469,1
1.011890,17,50,-1,17,0.000966,9,253469,1
1.012751,17,50,-1,17,0.000861,10,253469,1
1.013644,17,50,-1,17,0.000893,11,253469,1
1.014504,17,50,-1,17,0.000860,12,253469,1
1.015500,17,50,-1,17,0.000996,13,253469,1
1.016459,17,50,-1,17,0.000959,14,253469,1
1.017380,17,50,-1,17,0.000921,15,253469,1
1.018341,17,50,-1,17,0.000961,16,253469,1
1.019722,17,50,-1,17,0.001381,17,253469,1
1.020675,17,50,-1,17,0.000953,18,253469,1
1.021872,17,50,-1,17,0.001197,19,253469,1
2.394019,6,62,-1,6,1.372147,2,253469,1
2.395294,6,62,-1,6,0.001275,3,253469,1
2.396981,6,62,-1,6,0.001687,4,253469,1
2.399154,6,62,-1,6,0.002173,5,253469,1
2.401092,6,62,-1,6,0.001938,6,253469,1
2.402891,6,62,-1,6,0.001799,7,253469,1
2.404980,6,62,-1,6,0.002089,8,253469,1
2.406633,6,62,-1,6,0.001653,9,253469,1
2.408446,6,62,-1,6,0.001813,10,253469,1
2.410252,6,62,-1,6,0.001806,11,253469,1
2.412017,6,62,-1,6,0.001765,12,253469,1
2.413803,6,62,-1,6,0.001786,13,253469,1
2.415616,6,63,-1,6,0.001813,14,253469,1
2.417595,6,63,-1,6,0.001979,15,253469,1
2.420032,6,63,-1,6,0.002437,16,253469,1
2.422194,6,63,-1,6,0.002162,17,253469,1
2.424010,6,63,-1,6,0.001816,18,253469,1
2.426266,6,63,-1,6,0.002256,19,253469,1
3.591303,6,63,-1,6,1.165037,2,253469,1
3.595148,6,63,-1,6,0.003845,3,253469,1
3.596823,6,63,-1,6,0.001675,4,253469,1
3.598216,6,63,-1,6,0.001393,5,253469,1
3.599791,6,63,-1,6,0.001575,6,253469,1
3.601193,6,63,-1,6,0.001402,7,253469,1
3.602733,6,63,-1,6,0.001540,8,253469,1
3.604389,6,63,-1,6,0.001656,9,253469,1
3.606070,6,63,-1,6,0.001681,10,253469,1
3.607522,6,63,-1,6,0.001452,11,253469,1
3.609081,6,63,-1,6,0.001559,12,253469,1
3.610714,6,63,-1,6,0.001633,13,253469,1
3.612299,6,63,-1,6,0.001585,14,253469,1
3.613797,6,63,-1,6,0.001498,15,253469,1
3.615872,6,63,-1,6,0.002075,16,253469,1
3.617700,6,63,-1,6,0.001828,17,253469,1
3.619271,6,63,-1,6,0.001571,18,253469,1
3.620971,6,63,-1,6,0.001700,19,253469,1
5.091882,60,59,-1,60,1.470911,2,253469,1
5.094263,60,59,-1,60,0.002381,3,253469,1
5.096528,60,59,-1,60,0.002265,4,253469,1
5.721500,60,59,-1,60,0.624972,2,253469,1
5.723258,60,59,-1,60,0.001758,3,253469,1
5.725400,60,59,-1,60,0.002142,4,253469,1
