t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,1,246987,1
0.005033,17,50,-1,17,0.005033,2,246987,1
0.006051,17,50,-1,17,0.001018,3,246987,1
0.013026,17,50,-1,17,0.006975,4,246987,1
0.014339,17,50,-1,17,0.001313,5,246987,1
0.015539,17,50,-1,17,0.001200,6,246987,1
0.020912,17,50,-1,17,0.005373,7,246987,1
0.021956,17,50,-1,17,0.001044,8,246987,1
0.023013,17,50,-1,17,0.001057,9,246987,1
0.023907,17,50,-1,17,0.000894,10,246987,1
0.028240,17,50,-1,17,0.004333,11,246987,1
0.029229,17,50,-1,17,0.000989,12,246987,1
0.030704,17,50,-1,17,0.001475,13,246987,1
0.037674,17,50,-1,17,0.006970,14,246987,1
0.038639,17,50,-1,17,0.000965,15,246987,1
0.044166,17,50,-1,17,0.005527,16,246987,1
0.045152,17,50,-1,17,0.000986,17,246987,1
0.046119,17,50,-1,17,0.000967,18,246987,1
0.047151,17,50,-1,17,0.001032,19,246987,1
0.053157,17,50,-1,17,0.006006,20,246987,1
0.054190,17,50,-1,17,0.001033,21,246987,1
0.055428,17,50,-1,17,0.001238,22,246987,1
0.061424,17,50,-1,17,0.005996,23,246987,1
0.062436,17,50,-1,17,0.001012,24,246987,1
0.063460,17,50,-1,17,0.001024,25,246987,1
1.007706,17,50,-1,17,0.944246,1,246987,1
1.012858,17,50,-1,17,0.005152,2,246987,1
1.013995,17,50,-1,17,0.001137,3,246987,1
1.014968,17,50,-1,17,0.000973,4,246987,1
1.015913,17,50,-1,17,0.000945,5,246987,1
1.021708,17,50,-1,17,0.005795,6,246987,1
1.022756,17,50,-1,17,0.001048,7,246987,1
1.023835,17,50,-1,17,0.001079,8,246987,1
1.029020,17,50,-1,17,0.005185,9,246987,1
1.030084,17,50,-1,17,0.001064,10,246987,1
1.031100,17,50,-1,17,0.001016,11,246987,1
1.037315,17,50,-1,17,0.006215,12,246987,1
1.038447,17,50,-1,17,0.001132,13,246987,1
1.039438,17,50,-1,17,0.000991,14,246987,1
1.044536,17,50,-1,17,0.005098,15,246987,1
1.045509,17,50,-1,17,0.000973,16,246987,1
1.046562,17,50,-1,17,0.001053,17,246987,1
1.047580,17,50,-1,17,0.001018,18,246987,1
1.052686,17,50,-1,17,0.005106,19,246987,1
1.053741,17,50,-1,17,0.001055,20,246987,1
1.054738,17,50,-1,17,0.000997,21,246987,1
