t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,49,-1,17,0.000000,1,356415,1
0.001649,17,50,-1,17,0.001649,2,356415,1
0.003199,17,50,-1,17,0.001550,3,356415,1
0.004935,17,50,-1,17,0.001736,4,356415,1
0.006418,17,50,-1,17,0.001483,5,356415,1
0.007913,17,50,-1,17,0.001495,6,356415,1
0.009468,17,50,-1,17,0.001555,7,356415,1
0.010933,17,50,-1,17,0.001465,8,356415,1
0.012458,17,50,-1,17,0.001525,9,356415,1
0.014034,17,50,-1,17,0.001576,10,356415,1
0.015634,17,50,-1,17,0.001600,11,356415,1
0.033382,17,50,-1,17,0.017748,12,356415,1
0.034992,17,50,-1,17,0.001610,13,356415,1
0.036497,17,50,-1,17,0.001505,14,356415,1
0.038035,17,50,-1,17,0.001538,15,356415,1
0.039522,17,50,-1,17,0.001487,16,356415,1
0.041081,17,50,-1,17,0.001559,17,356415,1
0.042626,17,50,-1,17,0.001545,18,356415,1
0.057456,17,50,-1,17,0.014830,19,356415,1
0.058931,17,50,-1,17,0.001475,20,356415,1
0.060498,17,50,-1,17,0.001567,21,356415,1
0.071065,17,50,-1,17,0.010567,22,356415,1
0.072525,17,50,-1,17,0.001460,23,356415,1
0.074052,17,50,-1,17,0.001527,24,356415,1
0.075442,17,50,-1,17,0.001390,25,356415,1
0.076887,17,50,-1,17,0.001445,26,356415,1
0.078444,17,50,-1,17,0.001557,27,356415,1
1.161341,17,50,-1,17,1.082897,1,356415,1
1.162836,17,50,-1,17,0.001495,2,356415,1
1.164342,17,50,-1,17,0.001506,3,356415,1
1.179674,17,50,-1,17,0.015332,4,356415,1
1.181255,17,50,-1,17,0.001581,5,356415,1
1.182846,17,50,-1,17,0.001591,6,356415,1
1.184350,17,50,-1,17,0.001504,7,356415,1
1.186130,17,50,-1,17,0.001780,8,356415,1
1.187663,17,50,-1,17,0.001533,9,356415,1
1.189247,17,50,-1,17,0.001584,10,356415,1
1.190780,17,50,-1,17,0.001533,11,356415,1
1.205041,17,50,-1,17,0.014261,12,356415,1
1.206650,17,50,-1,17,0.001609,13,356415,1
1.208028,17,50,-1,17,0.001378,14,356415,1
1.209560,17,50,-1,17,0.001532,15,356415,1
1.211095,17,50,-1,17,0.001535,16,356415,1
1.212742,17,50,-1,17,0.001647,17,356415,1
1.214169,17,50,-1,17,0.001427,18,356415,1
1.215543,17,50,-1,17,0.001374,19,356415,1
1.217044,17,50,-1,17,0.001501,20,356415,1
1.218547,17,50,-1,17,0.001503,21,356415,1
1.219917,17,50,-1,17,0.001370,22,356415,1
1.237426,17,50,-1,17,0.017509,23,356415,1
1.238910,17,50,-1,17,0.001484,24,356415,1
1.240439,17,50,-1,17,0.001529,25,356415,1
1.242613,17,50,-1,17,0.002174,26,356415,1
1.244128,17,50,-1,17,0.001515,27,356415,1
2.343001,6,62,-1,6,1.098873,1,356415,1
2.344747,6,62,-1,6,0.001746,2,356415,1
2.346372,6,62,-1,6,0.001625,3,356415,1
2.347949,6,62,-1,6,0.001577,4,356415,1
2.349611,6,62,-1,6,0.001662,5,356415,1
2.351390,6,62,-1,6,0.001779,6,356415,1
2.363415,6,62,-1,6,0.012025,7,356415,1
2.370346,6,62,-1,6,0.006931,8,356415,1
2.372161,6,62,-1,6,0.001815,9,356415,1
2.374171,6,62,-1,6,0.002010,10,356415,1
2.375952,6,62,-1,6,0.001781,11,356415,1
2.377697,6,62,-1,6,0.001745,12,356415,1
2.387288,6,62,-1,6,0.009591,13,356415,1
2.389012,6,62,-1,6,0.001724,14,356415,1
2.390708,6,62,-1,6,0.001696,15,356415,1
2.392347,6,62,-1,6,0.001639,16,356415,1
2.394060,6,62,-1,6,0.001713,17,356415,1
2.395845,6,62,-1,6,0.001785,18,356415,1
2.397617,6,62,-1,6,0.001772,19,356415,1
2.399315,6,62,-1,6,0.001698,20,356415,1
2.417385,6,62,-1,6,0.018070,21,356415,1
2.419098,6,63,-1,6,0.001713,22,356415,1
2.420887,6,63,-1,6,0.001789,23,356415,1
2.422603,6,63,-1,6,0.001716,24,356415,1
2.424402,6,63,-1,6,0.001799,25,356415,1
2.433741,6,63,-1,6,0.009339,26,356415,1
2.435502,6,63,-1,6,0.001761,27,356415,1
3.547910,6,63,-1,6,1.112408,1,356415,1
3.549705,6,63,-1,6,0.001795,2,356415,1
3.551346,6,63,-1,6,0.001641,3,356415,1
3.568371,6,63,-1,6,0.017025,4,356415,1
3.570391,6,63,-1,6,0.002020,5,356415,1
3.572199,6,63,-1,6,0.001808,6,356415,1
3.573978,6,63,-1,6,0.001779,7,356415,1
3.575744,6,63,-1,6,0.001766,8,356415,1
3.577624,6,63,-1,6,0.001880,9,356415,1
3.579584,6,63,-1,6,0.001960,10,356415,1
3.581579,6,63,-1,6,0.001995,11,356415,1
3.590547,6,63,-1,6,0.008968,12,356415,1
3.592576,6,63,-1,6,0.002029,13,356415,1
3.594586,6,63,-1,6,0.002010,14,356415,1
3.596381,6,63,-1,6,0.001795,15,356415,1
3.598306,6,63,-1,6,0.001925,16,356415,1
3.600052,6,63,-1,6,0.001746,17,356415,1
3.601871,6,63,-1,6,0.001819,18,356415,1
3.618230,6,63,-1,6,0.016359,19,356415,1
3.619896,6,63,-1,6,0.001666,20,356415,1
3.621866,6,63,-1,6,0.001970,21,356415,1
3.623639,6,63,-1,6,0.001773,22,356415,1
3.625449,6,63,-1,6,0.001810,23,356415,1
3.627282,6,63,-1,6,0.001833,24,356415,1
3.641281,6,63,-1,6,0.013999,25,356415,1
