t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,1,236597,1
0.001176,17,50,-1,17,0.001176,2,236597,1
0.002398,17,50,-1,17,0.001222,3,236597,1
0.007719,17,50,-1,17,0.005321,4,236597,1
0.008997,17,50,-1,17,0.001278,5,236597,1
0.010176,17,50,-1,17,0.001179,6,236597,1
0.015566,17,50,-1,17,0.005390,7,236597,1
0.016755,17,50,-1,17,0.001189,8,236597,1
0.018012,17,50,-1,17,0.001257,9,236597,1
0.023403,17,50,-1,17,0.005391,10,236597,1
0.024679,17,50,-1,17,0.001276,11,236597,1
0.026068,17,50,-1,17,0.001389,12,236597,1
0.031362,17,50,-1,17,0.005294,13,236597,1
0.032540,17,50,-1,17,0.001178,14,236597,1
0.033920,17,50,-1,17,0.001380,15,236597,1
0.039201,17,50,-1,17,0.005281,16,236597,1
0.040568,17,50,-1,17,0.001367,17,236597,1
0.041830,17,50,-1,17,0.001262,18,236597,1
0.047292,17,50,-1,17,0.005462,19,236597,1
1.023627,17,50,-1,17,0.976335,1,236597,1
1.024787,17,50,-1,17,0.001160,2,236597,1
1.025922,17,50,-1,17,0.001135,3,236597,1
1.031143,17,50,-1,17,0.005221,4,236597,1
1.032414,17,50,-1,17,0.001271,5,236597,1
1.033655,17,50,-1,17,0.001241,6,236597,1
1.034849,17,50,-1,17,0.001194,7,236597,1
1.040300,17,50,-1,17,0.005451,8,236597,1
1.041629,17,50,-1,17,0.001329,9,236597,1
1.047123,17,50,-1,17,0.005494,10,236597,1
1.048306,17,50,-1,17,0.001183,11,236597,1
1.049490,17,50,-1,17,0.001184,12,236597,1
1.050651,17,50,-1,17,0.001161,13,236597,1
1.056624,17,50,-1,17,0.005973,14,236597,1
1.058494,17,50,-1,17,0.001870,15,236597,1
1.064010,17,50,-1,17,0.005516,16,236597,1
1.065336,17,50,-1,17,0.001326,17,236597,1
1.066673,17,50,-1,17,0.001337,18,236597,1
1.072199,17,50,-1,17,0.005526,19,236597,1
2.070904,6,62,-1,6,0.998705,1,236597,1
2.076471,6,62,-1,6,0.005567,2,236597,1
2.077734,6,62,-1,6,0.001263,3,236597,1
2.079109,6,62,-1,6,0.001375,4,236597,1
2.084604,6,62,-1,6,0.005495,5,236597,1
2.085889,6,62,-1,6,0.001285,6,236597,1
2.087304,6,62,-1,6,0.001415,7,236597,1
2.092944,6,62,-1,6,0.005640,8,236597,1
2.094297,6,62,-1,6,0.001353,9,236597,1
2.101047,6,62,-1,6,0.006750,10,236597,1
2.103460,6,62,-1,6,0.002413,11,236597,1
2.110065,6,62,-1,6,0.006605,12,236597,1
2.116705,6,62,-1,6,0.006640,13,236597,1
2.117955,6,62,-1,6,0.001250,14,236597,1
2.119310,6,63,-1,6,0.001355,15,236597,1
2.124855,6,63,-1,6,0.005545,16,236597,1
2.126158,6,63,-1,6,0.001303,17,236597,1
2.171789,6,63,-1,6,0.045631,18,236597,1
2.173372,6,63,-1,6,0.001583,19,236597,1
2.174777,6,63,-1,6,0.001405,20,236597,1
3.125245,6,63,-1,6,0.950468,1,236597,1
3.126691,6,63,-1,6,0.001446,2,236597,1
3.132619,6,63,-1,6,0.005928,3,236597,1
3.133966,6,63,-1,6,0.001347,4,236597,1
3.135125,6,63,-1,6,0.001159,5,236597,1
3.140881,6,63,-1,6,0.005756,6,236597,1
3.142205,6,63,-1,6,0.001324,7,236597,1
3.148972,6,63,-1,6,0.006767,8,236597,1
3.150297,6,63,-1,6,0.001325,9,236597,1
3.155953,6,63,-1,6,0.005656,10,236597,1
3.157892,6,63,-1,6,0.001939,11,236597,1
3.160592,6,63,-1,6,0.002700,12,236597,1
3.162510,6,63,-1,6,0.001918,13,236597,1
3.173547,6,63,-1,6,0.011037,14,236597,1
3.174841,6,63,-1,6,0.001294,15,236597,1
3.176298,6,63,-1,6,0.001457,16,236597,1
3.177638,6,63,-1,6,0.001340,17,236597,1
3.178922,6,63,-1,6,0.001284,18,236597,1
3.184455,6,63,-1,6,0.005533,19,236597,1
3.185901,6,63,-1,6,0.001446,20,236597,1
4.649885,60,59,-1,60,1.463984,1,236597,1
4.651379,60,59,-1,60,0.001494,2,236597,1
