t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,1,325657,1
0.005599,17,50,-1,17,0.005599,2,325657,1
0.007454,17,50,-1,17,0.001855,3,325657,1
0.013424,17,50,-1,17,0.005970,4,325657,1
0.015263,17,50,-1,17,0.001839,5,325657,1
0.021585,17,50,-1,17,0.006322,6,325657,1
0.023380,17,50,-1,17,0.001795,7,325657,1
0.029288,17,50,-1,17,0.005908,8,325657,1
0.030366,17,50,-1,17,0.001078,9,325657,1
0.031639,17,50,-1,17,0.001273,10,325657,1
0.037196,17,50,-1,17,0.005557,11,325657,1
0.038130,17,50,-1,17,0.000934,12,325657,1
0.039188,17,50,-1,17,0.001058,13,325657,1
0.044662,17,50,-1,17,0.005474,14,325657,1
0.045780,17,50,-1,17,0.001118,15,325657,1
0.046860,17,50,-1,17,0.001080,16,325657,1
0.052919,17,50,-1,17,0.006059,17,325657,1
0.055120,17,50,-1,17,0.002201,18,325657,1
0.063426,17,50,-1,17,0.008306,19,325657,1
0.065132,17,50,-1,17,0.001706,20,325657,1
0.066204,17,50,-1,17,0.001072,21,325657,1
0.067419,17,50,-1,17,0.001215,22,325657,1
0.072722,17,50,-1,17,0.005303,23,325657,1
0.074025,17,50,-1,17,0.001303,24,325657,1
0.075364,17,50,-1,17,0.001339,25,325657,1
1.024380,17,50,-1,17,0.949016,1,325657,1
1.025691,17,50,-1,17,0.001311,2,325657,1
1.026541,17,50,-1,17,0.000850,3,325657,1
1.027681,17,50,-1,17,0.001140,4,325657,1
1.032807,17,50,-1,17,0.005126,5,325657,1
1.033672,17,50,-1,17,0.000865,6,325657,1
1.034923,17,50,-1,17,0.001251,7,325657,1
1.040308,17,50,-1,17,0.005385,8,325657,1
1.041186,17,50,-1,17,0.000878,9,325657,1
1.042217,17,50,-1,17,0.001031,10,325657,1
1.043150,17,50,-1,17,0.000933,11,325657,1
1.048671,17,50,-1,17,0.005521,12,325657,1
1.049630,17,50,-1,17,0.000959,13,325657,1
1.050484,17,50,-1,17,0.000854,14,325657,1
1.051497,17,50,-1,17,0.001013,15,325657,1
1.056822,17,50,-1,17,0.005325,16,325657,1
1.057784,17,50,-1,17,0.000962,17,325657,1
1.058798,17,50,-1,17,0.001014,18,325657,1
1.063975,17,50,-1,17,0.005177,19,325657,1
1.065249,17,50,-1,17,0.001274,20,325657,1
1.066286,17,50,-1,17,0.001037,21,325657,1
1.067111,17,50,-1,17,0.000825,22,325657,1
1.072250,17,50,-1,17,0.005139,23,325657,1
1.073322,17,50,-1,17,0.001072,24,325657,1
1.074349,17,50,-1,17,0.001027,25,325657,1
2.081456,6,62,-1,6,1.007107,1,325657,1
2.082659,6,62,-1,6,0.001203,2,325657,1
2.088565,6,62,-1,6,0.005906,3,325657,1
2.089608,6,62,-1,6,0.001043,4,325657,1
2.091008,6,62,-1,6,0.001400,5,325657,1
2.096468,6,62,-1,6,0.005460,6,325657,1
2.097907,6,62,-1,6,0.001439,7,325657,1
2.098974,6,62,-1,6,0.001067,8,325657,1
2.104749,6,62,-1,6,0.005775,9,325657,1
2.105922,6,62,-1,6,0.001173,10,325657,1
2.107070,6,62,-1,6,0.001148,11,325657,1
2.112843,6,62,-1,6,0.005773,12,325657,1
2.113836,6,62,-1,6,0.000993,13,325657,1
2.115073,6,62,-1,6,0.001237,14,325657,1
2.120601,6,62,-1,6,0.005528,15,325657,1
2.121995,6,62,-1,6,0.001394,16,325657,1
2.128954,6,62,-1,6,0.006959,17,325657,1
2.130364,6,62,-1,6,0.001410,18,325657,1
2.135698,6,63,-1,6,0.005334,19,325657,1
2.137001,6,63,-1,6,0.001303,20,325657,1
2.138100,6,63,-1,6,0.001099,21,325657,1
2.139323,6,63,-1,6,0.001223,22,325657,1
2.146504,6,63,-1,6,0.007181,23,325657,1
2.151870,6,63,-1,6,0.005366,24,325657,1
3.129729,6,63,-1,6,0.977859,1,325657,1
3.130955,6,63,-1,6,0.001226,2,325657,1
3.136834,6,63,-1,6,0.005879,3,325657,1
3.137962,6,63,-1,6,0.001128,4,325657,1
3.139215,6,63,-1,6,0.001253,5,325657,1
3.145595,6,63,-1,6,0.006380,6,325657,1
3.147381,6,63,-1,6,0.001786,7,325657,1
3.153717,6,63,-1,6,0.006336,8,325657,1
3.155251,6,63,-1,6,0.001534,9,325657,1
3.161253,6,63,-1,6,0.006002,10,325657,1
3.162548,6,63,-1,6,0.001295,11,325657,1
3.168496,6,63,-1,6,0.005948,12,325657,1
3.170222,6,63,-1,6,0.001726,13,325657,1
3.176435,6,63,-1,6,0.006213,14,325657,1
3.177755,6,63,-1,6,0.001320,15,325657,1
3.183787,6,63,-1,6,0.006032,16,325657,1
3.185434,6,63,-1,6,0.001647,17,325657,1
3.194629,6,63,-1,6,0.009195,18,325657,1
3.196042,6,63,-1,6,0.001413,19,325657,1
3.197620,6,63,-1,6,0.001578,20,325657,1
3.199336,6,63,-1,6,0.001716,21,325657,1
3.205668,6,63,-1,6,0.006332,22,325657,1
3.207050,6,63,-1,6,0.001382,23,325657,1
3.213355,6,63,-1,6,0.006305,24,325657,1
4.688502,60,59,-1,60,1.475147,1,325657,1
4.690947,60,59,-1,60,0.002445,2,325657,1
5.248255,60,59,-1,60,0.557308,1,325657,1
5.249960,60,59,-1,60,0.001705,2,325657,1
6.260233,60,59,-1,60,1.010273,244,325657,1
6.276523,60,59,-1,60,0.016290,244,325657,1
6.293281,60,59,-1,60,0.016758,244,325657,1
