t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,2,352647,1
0.000673,17,50,-1,17,0.000673,3,352647,1
0.006169,17,50,-1,17,0.005496,4,352647,1
0.007726,17,50,-1,17,0.001557,5,352647,1
0.013388,17,50,-1,17,0.005662,6,352647,1
0.014942,17,50,-1,17,0.001554,7,352647,1
0.016441,17,50,-1,17,0.001499,8,352647,1
0.022041,17,50,-1,17,0.005600,9,352647,1
0.023264,17,50,-1,17,0.001223,10,352647,1
0.024497,17,50,-1,17,0.001233,11,352647,1
0.029961,17,50,-1,17,0.005464,12,352647,1
0.031263,17,50,-1,17,0.001302,13,352647,1
0.032678,17,50,-1,17,0.001415,14,352647,1
0.040543,17,50,-1,17,0.007865,15,352647,1
0.045920,17,50,-1,17,0.005377,16,352647,1
0.047128,17,50,-1,17,0.001208,17,352647,1
0.048376,17,50,-1,17,0.001248,18,352647,1
0.053846,17,50,-1,17,0.005470,19,352647,1
0.055123,17,50,-1,17,0.001277,20,352647,1
0.056542,17,50,-1,17,0.001419,21,352647,1
0.062345,17,50,-1,17,0.005803,22,352647,1
0.064049,17,50,-1,17,0.001704,23,352647,1
0.069439,17,50,-1,17,0.005390,24,352647,1
0.070737,17,50,-1,17,0.001298,25,352647,1
0.072198,17,50,-1,17,0.001461,26,352647,1
0.077624,17,50,-1,17,0.005426,27,352647,1
1.030155,17,50,-1,17,0.952531,2,352647,1
1.031642,17,50,-1,17,0.001487,3,352647,1
1.032825,17,50,-1,17,0.001183,4,352647,1
1.038206,17,50,-1,17,0.005381,5,352647,1
1.039784,17,50,-1,17,0.001578,6,352647,1
1.045240,17,50,-1,17,0.005456,7,352647,1
1.046525,17,50,-1,17,0.001285,8,352647,1
1.047870,17,50,-1,17,0.001345,9,352647,1
1.053222,17,50,-1,17,0.005352,10,352647,1
1.054574,17,50,-1,17,0.001352,11,352647,1
1.055990,17,50,-1,17,0.001416,12,352647,1
1.061315,17,50,-1,17,0.005325,13,352647,1
1.062599,17,50,-1,17,0.001284,14,352647,1
1.064071,17,50,-1,17,0.001472,15,352647,1
1.069433,17,50,-1,17,0.005362,16,352647,1
1.070656,17,50,-1,17,0.001223,17,352647,1
1.071929,17,50,-1,17,0.001273,18,352647,1
1.077440,17,50,-1,17,0.005511,19,352647,1
1.078716,17,50,-1,17,0.001276,20,352647,1
1.080107,17,50,-1,17,0.001391,21,352647,1
1.085590,17,50,-1,17,0.005483,22,352647,1
1.086902,17,50,-1,17,0.001312,23,352647,1
1.088187,17,50,-1,17,0.001285,24,352647,1
1.093661,17,50,-1,17,0.005474,25,352647,1
1.094914,17,50,-1,17,0.001253,26,352647,1
1.096165,17,50,-1,17,0.001251,27,352647,1
2.091474,6,62,-1,6,0.995309,2,352647,1
2.092464,6,62,-1,6,0.000990,3,352647,1
2.098207,6,62,-1,6,0.005743,4,352647,1
2.099684,6,62,-1,6,0.001477,5,352647,1
2.105298,6,62,-1,6,0.005614,6,352647,1
2.107196,6,62,-1,6,0.001898,7,352647,1
2.108789,6,62,-1,6,0.001593,8,352647,1
2.114494,6,62,-1,6,0.005705,9,352647,1
2.115910,6,62,-1,6,0.001416,10,352647,1
2.121459,6,62,-1,6,0.005549,11,352647,1
2.123077,6,62,-1,6,0.001618,12,352647,1
2.127366,6,62,-1,6,0.004289,13,352647,1
2.128729,6,62,-1,6,0.001363,14,352647,1
2.134597,6,62,-1,6,0.005868,15,352647,1
2.136365,6,62,-1,6,0.001768,16,352647,1
2.141981,6,62,-1,6,0.005616,17,352647,1
2.143392,6,62,-1,6,0.001411,18,352647,1
2.144930,6,62,-1,6,0.001538,19,352647,1
2.150468,6,62,-1,6,0.005538,20,352647,1
2.151914,6,62,-1,6,0.001446,21,352647,1
2.157484,6,63,-1,6,0.005570,22,352647,1
2.159031,6,63,-1,6,0.001547,23,352647,1
2.165594,6,63,-1,6,0.006563,24,352647,1
2.170197,6,63,-1,6,0.004603,25,352647,1
2.171603,6,63,-1,6,0.001406,26,352647,1
2.179180,6,63,-1,6,0.007577,27,352647,1
3.134570,6,63,-1,6,0.955390,2,352647,1
3.135879,6,63,-1,6,0.001309,3,352647,1
3.141333,6,63,-1,6,0.005454,4,352647,1
3.142729,6,63,-1,6,0.001396,5,352647,1
3.144347,6,63,-1,6,0.001618,6,352647,1
3.149838,6,63,-1,6,0.005491,7,352647,1
3.151326,6,63,-1,6,0.001488,8,352647,1
3.152700,6,63,-1,6,0.001374,9,352647,1
3.158409,6,63,-1,6,0.005709,10,352647,1
3.159907,6,63,-1,6,0.001498,11,352647,1
3.165447,6,63,-1,6,0.005540,12,352647,1
3.167204,6,63,-1,6,0.001757,13,352647,1
3.168882,6,63,-1,6,0.001678,14,352647,1
3.174387,6,63,-1,6,0.005505,15,352647,1
3.175795,6,63,-1,6,0.001408,16,352647,1
3.181361,6,63,-1,6,0.005566,17,352647,1
3.182986,6,63,-1,6,0.001625,18,352647,1
3.184389,6,63,-1,6,0.001403,19,352647,1
3.189995,6,63,-1,6,0.005606,20,352647,1
3.191675,6,63,-1,6,0.001680,21,352647,1
3.197317,6,63,-1,6,0.005642,22,352647,1
3.198980,6,63,-1,6,0.001663,23,352647,1
3.200480,6,63,-1,6,0.001500,24,352647,1
3.206045,6,63,-1,6,0.005565,25,352647,1
3.207510,6,63,-1,6,0.001465,26,352647,1
3.209006,6,63,-1,6,0.001496,27,352647,1
4.656311,60,59,-1,60,1.447305,2,352647,1
4.661843,60,59,-1,60,0.005532,3,352647,1
4.663306,60,59,-1,60,0.001463,4,352647,1
5.215316,60,59,-1,60,0.552010,2,352647,1
5.216769,60,59,-1,60,0.001453,3,352647,1
5.222299,60,59,-1,60,0.005530,4,352647,1
6.230416,60,59,-1,60,1.008117,247,352647,1
6.244837,60,59,-1,60,0.014421,247,352647,1
6.262850,60,59,-1,60,0.018013,247,352647,1
6.278667,60,59,-1,60,0.015817,247,352647,1
6.292986,60,59,-1,60,0.014319,247,352647,1
6.307463,60,59,-1,60,0.014477,247,352647,1
6.321923,60,59,-1,60,0.014460,247,352647,1
6.336263,60,59,-1,60,0.014340,247,352647,1
6.350782,60,59,-1,60,0.014519,247,352647,1
6.365585,60,59,-1,60,0.014803,247,352647,1
6.382570,60,59,-1,60,0.016985,247,352647,1
6.396929,60,59,-1,60,0.014359,247,352647,1
6.411340,60,59,-1,60,0.014411,247,352647,1
6.425789,60,59,-1,60,0.014449,247,352647,1
6.443006,60,59,-1,60,0.017217,247,352647,1
6.458602,60,59,-1,60,0.015596,247,352647,1
6.472997,60,59,-1,60,0.014395,247,352647,1
6.487648,60,59,-1,60,0.014651,247,352647,1
6.502543,60,59,-1,60,0.014895,247,352647,1
6.516715,60,59,-1,60,0.014172,247,352647,1
6.531845,60,59,-1,60,0.015130,247,352647,1
6.550886,60,59,-1,60,0.019041,247,352647,1
6.566466,60,59,-1,60,0.015580,247,352647,1
6.580818,60,59,-1,60,0.014352,247,352647,1
6.595224,60,59,-1,60,0.014406,247,352647,1
6.609927,60,59,-1,60,0.014703,247,352647,1
6.626780,60,59,-1,60,0.016853,247,352647,1
6.641219,60,59,-1,60,0.014439,247,352647,1
6.655515,60,59,-1,60,0.014296,247,352647,1
6.670150,60,59,-1,60,0.014635,247,352647,1
6.975018,60,71,-1,60,0.304868,2,352647,1
6.976846,60,71,-1,60,0.001828,3,352647,1
6.982477,60,71,-1,60,0.005631,4,352647,1
7.537571,60,71,-1,60,0.555094,2,352647,1
7.539082,60,71,-1,60,0.001511,3,352647,1
7.540697,60,71,-1,60,0.001615,4,352647,1
8.554804,60,71,-1,60,1.014107,247,352647,1
8.570990,60,71,-1,60,0.016186,247,352647,1
8.587217,60,71,-1,60,0.016227,247,352647,1
8.603188,60,71,-1,60,0.015971,247,352647,1
8.619104,60,71,-1,60,0.015916,247,352647,1
8.634889,60,71,-1,60,0.015785,247,352647,1
8.651266,60,71,-1,60,0.016377,247,352647,1
8.667495,60,71,-1,60,0.016229,247,352647,1
8.682979,60,71,-1,60,0.015484,247,352647,1
8.698966,60,71,-1,60,0.015987,247,352647,1
8.715377,60,71,-1,60,0.016411,247,352647,1
8.731913,60,71,-1,60,0.016536,247,352647,1
8.751259,60,71,-1,60,0.019346,247,352647,1
8.767074,60,71,-1,60,0.015815,247,352647,1
8.783130,60,71,-1,60,0.016056,247,352647,1
8.798824,60,71,-1,60,0.015694,247,352647,1
8.815055,60,71,-1,60,0.016231,247,352647,1
8.830892,60,71,-1,60,0.015837,247,352647,1
8.848082,60,71,-1,60,0.017190,247,352647,1
8.867132,60,71,-1,60,0.019050,247,352647,1
8.882870,60,71,-1,60,0.015738,247,352647,1
8.899076,60,71,-1,60,0.016206,247,352647,1
8.915311,60,71,-1,60,0.016235,247,352647,1
8.930975,60,71,-1,60,0.015664,247,352647,1
8.946904,60,71,-1,60,0.015929,247,352647,1
8.963004,60,71,-1,60,0.016100,247,352647,1
8.979197,60,71,-1,60,0.016193,247,352647,1
8.994759,60,71,-1,60,0.015562,247,352647,1
9.010783,60,71,-1,60,0.016024,247,352647,1
