t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,1,356462,1
0.000715,17,50,-1,17,0.000715,2,356462,1
0.005617,17,50,-1,17,0.004902,3,356462,1
0.006343,17,50,-1,17,0.000726,4,356462,1
0.007199,17,50,-1,17,0.000856,5,356462,1
0.007996,17,50,-1,17,0.000797,6,356462,1
0.008767,17,50,-1,17,0.000771,7,356462,1
0.013548,17,50,-1,17,0.004781,8,356462,1
0.014269,17,50,-1,17,0.000721,9,356462,1
0.015108,17,50,-1,17,0.000839,10,356462,1
0.015859,17,50,-1,17,0.000751,11,356462,1
0.016599,17,50,-1,17,0.000740,12,356462,1
0.021453,17,50,-1,17,0.004854,13,356462,1
0.022981,17,50,-1,17,0.001528,14,356462,1
0.023750,17,50,-1,17,0.000769,15,356462,1
0.024543,17,50,-1,17,0.000793,16,356462,1
0.031334,17,50,-1,17,0.006791,17,356462,1
0.032033,17,50,-1,17,0.000699,18,356462,1
0.032797,17,50,-1,17,0.000764,19,356462,1
0.033609,17,50,-1,17,0.000812,20,356462,1
0.034385,17,50,-1,17,0.000776,21,356462,1
0.035167,17,50,-1,17,0.000782,22,356462,1
0.036008,17,50,-1,17,0.000841,23,356462,1
0.036799,17,50,-1,17,0.000791,24,356462,1
1.010700,17,50,-1,17,0.973901,1,356462,1
1.011449,17,50,-1,17,0.000749,2,356462,1
1.012411,17,50,-1,17,0.000962,3,356462,1
1.017241,17,50,-1,17,0.004830,4,356462,1
1.017991,17,50,-1,17,0.000750,5,356462,1
1.018771,17,50,-1,17,0.000780,6,356462,1
1.019501,17,50,-1,17,0.000730,7,356462,1
1.020243,17,50,-1,17,0.000742,8,356462,1
1.025110,17,50,-1,17,0.004867,9,356462,1
1.025847,17,50,-1,17,0.000737,10,356462,1
1.026819,17,50,-1,17,0.000972,11,356462,1
1.027659,17,50,-1,17,0.000840,12,356462,1
1.028395,17,50,-1,17,0.000736,13,356462,1
1.033247,17,50,-1,17,0.004852,14,356462,1
1.033987,17,50,-1,17,0.000740,15,356462,1
1.034770,17,50,-1,17,0.000783,16,356462,1
1.039843,17,50,-1,17,0.005073,17,356462,1
1.040620,17,50,-1,17,0.000777,18,356462,1
1.045520,17,50,-1,17,0.004900,19,356462,1
1.046297,17,50,-1,17,0.000777,20,356462,1
1.047057,17,50,-1,17,0.000760,21,356462,1
1.047926,17,50,-1,17,0.000869,22,356462,1
1.048665,17,50,-1,17,0.000739,23,356462,1
1.053486,17,50,-1,17,0.004821,24,356462,1
2.042903,6,62,-1,6,0.989417,1,356462,1
2.044305,6,62,-1,6,0.001402,2,356462,1
2.049564,6,62,-1,6,0.005259,3,356462,1
2.050846,6,62,-1,6,0.001282,4,356462,1
2.052096,6,62,-1,6,0.001250,5,356462,1
2.057287,6,62,-1,6,0.005191,6,356462,1
2.058184,6,62,-1,6,0.000897,7,356462,1
2.059079,6,62,-1,6,0.000895,8,356462,1
2.059967,6,62,-1,6,0.000888,9,356462,1
2.065025,6,62,-1,6,0.005058,10,356462,1
2.066665,6,62,-1,6,0.001640,11,356462,1
2.071077,6,62,-1,6,0.004412,12,356462,1
2.072013,6,62,-1,6,0.000936,13,356462,1
2.076944,6,62,-1,6,0.004931,14,356462,1
2.077804,6,62,-1,6,0.000860,15,356462,1
2.078653,6,62,-1,6,0.000849,16,356462,1
