t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,1,488442,1
0.000897,17,50,-1,17,0.000897,2,488442,1
0.002004,17,50,-1,17,0.001107,3,488442,1
0.003284,17,50,-1,17,0.001280,4,488442,1
0.004124,17,50,-1,17,0.000840,5,488442,1
0.005295,17,50,-1,17,0.001171,6,488442,1
0.006161,17,50,-1,17,0.000866,7,488442,1
0.006981,17,50,-1,17,0.000820,8,488442,1
0.008220,17,50,-1,17,0.001239,9,488442,1
0.008958,17,50,-1,17,0.000738,10,488442,1
0.009990,17,50,-1,17,0.001032,11,488442,1
0.011103,17,50,-1,17,0.001113,12,488442,1
0.011880,17,50,-1,17,0.000777,13,488442,1
0.013006,17,50,-1,17,0.001126,14,488442,1
0.013714,17,50,-1,17,0.000708,15,488442,1
0.016394,17,50,-1,17,0.002680,16,488442,1
0.017155,17,50,-1,17,0.000761,17,488442,1
0.018211,17,50,-1,17,0.001056,18,488442,1
1.006013,17,50,-1,17,0.987802,1,488442,1
1.006829,17,50,-1,17,0.000816,2,488442,1
1.007958,17,50,-1,17,0.001129,3,488442,1
1.009267,17,50,-1,17,0.001309,4,488442,1
1.010030,17,50,-1,17,0.000763,5,488442,1
1.011187,17,50,-1,17,0.001157,6,488442,1
1.013688,17,50,-1,17,0.002501,7,488442,1
1.014804,17,50,-1,17,0.001116,8,488442,1
1.015796,17,50,-1,17,0.000992,9,488442,1
1.016669,17,50,-1,17,0.000873,10,488442,1
1.017669,17,50,-1,17,0.001000,11,488442,1
1.019487,17,50,-1,17,0.001818,12,488442,1
1.020443,17,50,-1,17,0.000956,13,488442,1
1.021322,17,50,-1,17,0.000879,14,488442,1
1.022320,17,50,-1,17,0.000998,15,488442,1
1.024447,17,50,-1,17,0.002127,16,488442,1
1.025396,17,50,-1,17,0.000949,17,488442,1
1.025877,17,50,-1,17,0.000481,18,488442,1
2.061055,6,62,-1,6,1.035178,1,488442,1
2.062268,6,62,-1,6,0.001213,2,488442,1
2.063442,6,62,-1,6,0.001174,3,488442,1
2.064437,6,62,-1,6,0.000995,4,488442,1
2.065678,6,62,-1,6,0.001241,5,488442,1
2.066782,6,62,-1,6,0.001104,6,488442,1
2.068047,6,62,-1,6,0.001265,7,488442,1
2.069004,6,62,-1,6,0.000957,8,488442,1
2.070100,6,62,-1,6,0.001096,9,488442,1
2.071095,6,62,-1,6,0.000995,10,488442,1
2.072327,6,62,-1,6,0.001232,11,488442,1
2.073845,6,62,-1,6,0.001518,12,488442,1
2.074704,6,63,-1,6,0.000859,13,488442,1
2.075647,6,63,-1,6,0.000943,14,488442,1
2.077561,6,63,-1,6,0.001914,15,488442,1
2.078541,6,63,-1,6,0.000980,16,488442,1
2.080160,6,63,-1,6,0.001619,17,488442,1
2.081887,6,63,-1,6,0.001727,18,488442,1
3.106594,6,63,-1,6,1.024707,1,488442,1
3.107537,6,63,-1,6,0.000943,2,488442,1
3.108570,6,63,-1,6,0.001033,3,488442,1
3.109736,6,63,-1,6,0.001166,4,488442,1
3.111138,6,63,-1,6,0.001402,5,488442,1
3.112476,6,63,-1,6,0.001338,6,488442,1
3.113366,6,63,-1,6,0.000890,7,488442,1
3.114496,6,63,-1,6,0.001130,8,488442,1
3.115933,6,63,-1,6,0.001437,9,488442,1
3.116819,6,63,-1,6,0.000886,10,488442,1
3.118063,6,63,-1,6,0.001244,11,488442,1
3.119151,6,63,-1,6,0.001088,12,488442,1
3.121876,6,63,-1,6,0.002725,13,488442,1
3.122214,6,63,-1,6,0.000338,14,488442,1
3.122535,6,63,-1,6,0.000321,15,488442,1
3.123529,6,63,-1,6,0.000994,16,488442,1
3.124546,6,63,-1,6,0.001017,17,488442,1
3.125553,6,63,-1,6,0.001007,18,488442,1
4.668154,60,59,-1,60,1.542601,1,488442,1
4.669383,60,59,-1,60,0.001229,2,488442,1
4.670569,60,59,-1,60,0.001186,3,488442,1
5.242266,60,59,-1,60,0.571697,1,488442,1
5.243097,60,59,-1,60,0.000831,2,488442,1
5.244475,60,59,-1,60,0.001378,3,488442,1
6.284117,60,59,-1,60,1.039642,238,488442,1
6.323791,60,59,-1,60,0.039674,238,488442,1
6.375184,60,59,-1,60,0.051393,238,488442,1
6.427782,60,59,-1,60,0.052598,238,488442,1
6.483673,60,59,-1,60,0.055891,238,488442,1
6.539293,60,59,-1,60,0.055620,238,488442,1
6.595309,60,59,-1,60,0.056016,238,488442,1
6.668284,60,59,-1,60,0.072975,238,488442,1
6.735585,60,59,-1,60,0.067301,238,488442,1
6.788209,60,59,-1,60,0.052624,238,488442,1
6.843476,60,59,-1,60,0.055267,238,488442,1
6.907619,60,59,-1,60,0.064143,238,488442,1
