t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,49,-1,17,0.000000,2,253648,1
0.001386,17,50,-1,17,0.001386,3,253648,1
0.016489,17,50,-1,17,0.015103,4,253648,1
0.018196,17,50,-1,17,0.001707,5,253648,1
0.028875,17,50,-1,17,0.010679,6,253648,1
0.030533,17,50,-1,17,0.001658,7,253648,1
0.032143,17,50,-1,17,0.001610,8,253648,1
0.033658,17,50,-1,17,0.001515,9,253648,1
0.051001,17,50,-1,17,0.017343,10,253648,1
0.052810,17,50,-1,17,0.001809,11,253648,1
0.054473,17,50,-1,17,0.001663,12,253648,1
0.060292,17,50,-1,17,0.005819,13,253648,1
0.061768,17,50,-1,17,0.001476,14,253648,1
0.070735,17,50,-1,17,0.008967,15,253648,1
0.072330,17,50,-1,17,0.001595,16,253648,1
0.073831,17,50,-1,17,0.001501,17,253648,1
0.084481,17,50,-1,17,0.010650,18,253648,1
0.086091,17,50,-1,17,0.001610,19,253648,1
0.092034,17,50,-1,17,0.005943,20,253648,1
0.093434,17,50,-1,17,0.001400,21,253648,1
0.099191,17,50,-1,17,0.005757,22,253648,1
0.100682,17,50,-1,17,0.001491,23,253648,1
0.102139,17,50,-1,17,0.001457,24,253648,1
0.108022,17,50,-1,17,0.005883,25,253648,1
0.110187,17,50,-1,17,0.002165,26,253648,1
0.115966,17,50,-1,17,0.005779,27,253648,1
0.117853,17,50,-1,17,0.001887,28,253648,1
1.027206,17,50,-1,17,0.909353,2,253648,1
1.028721,17,50,-1,17,0.001515,3,253648,1
1.040240,17,50,-1,17,0.011519,4,253648,1
1.042234,17,50,-1,17,0.001994,5,253648,1
1.052407,17,50,-1,17,0.010173,6,253648,1
1.053877,17,50,-1,17,0.001470,7,253648,1
1.055488,17,50,-1,17,0.001611,8,253648,1
1.057111,17,50,-1,17,0.001623,9,253648,1
1.070416,17,50,-1,17,0.013305,10,253648,1
1.072478,17,50,-1,17,0.002062,11,253648,1
1.074126,17,50,-1,17,0.001648,12,253648,1
1.084060,17,50,-1,17,0.009934,13,253648,1
1.085595,17,50,-1,17,0.001535,14,253648,1
1.095290,17,50,-1,17,0.009695,15,253648,1
1.097003,17,50,-1,17,0.001713,16,253648,1
