t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,1,215687,1
0.000000,17,50,-1,17,0.000000,2,215687,1
0.000000,17,50,-1,17,0.000000,3,215687,1
0.000000,17,50,-1,17,0.000000,4,215687,1
0.000000,17,50,-1,17,0.000000,5,215687,1
0.099996,17,50,-1,17,0.099996,6,215687,1
0.099996,17,50,-1,17,0.000000,7,215687,1
0.099996,17,50,-1,17,0.000000,8,215687,1
0.099996,17,50,-1,17,0.000000,9,215687,1
0.099996,17,50,-1,17,0.000000,10,215687,1
0.099997,17,50,-1,17,0.000001,11,215687,1
0.100103,17,50,-1,17,0.000106,12,215687,1
0.100103,17,50,-1,17,0.000000,13,215687,1
0.100103,17,50,-1,17,0.000000,14,215687,1
0.100103,17,50,-1,17,0.000000,15,215687,1
0.100104,17,50,-1,17,0.000001,16,215687,1
0.100104,17,50,-1,17,0.000000,17,215687,1
0.100104,17,50,-1,17,0.000000,18,215687,1
0.100104,17,50,-1,17,0.000000,19,215687,1
0.100145,17,50,-1,17,0.000041,20,215687,1
0.100145,17,50,-1,17,0.000000,21,215687,1
1.400048,17,50,-1,17,1.299903,1,215687,1
1.400049,17,50,-1,17,0.000001,2,215687,1
1.400196,17,50,-1,17,0.000147,3,215687,1
1.400196,17,50,-1,17,0.000000,4,215687,1
1.400196,17,50,-1,17,0.000000,5,215687,1
1.600059,17,50,-1,17,0.199863,6,215687,1
1.600059,17,50,-1,17,0.000000,7,215687,1
1.600059,17,50,-1,17,0.000000,8,215687,1
1.600060,17,50,-1,17,0.000001,9,215687,1
1.600231,17,50,-1,17,0.000171,10,215687,1
1.600232,17,50,-1,17,0.000001,11,215687,1
1.600232,17,50,-1,17,0.000000,12,215687,1
1.600232,17,50,-1,17,0.000000,13,215687,1
1.600308,17,50,-1,17,0.000076,14,215687,1
1.600308,17,50,-1,17,0.000000,15,215687,1
1.600308,17,50,-1,17,0.000000,16,215687,1
1.600308,17,50,-1,17,0.000000,17,215687,1
1.600359,17,50,-1,17,0.000051,18,215687,1
1.600359,17,50,-1,17,0.000000,19,215687,1
1.699976,17,50,-1,17,0.099617,20,215687,1
1.699976,17,50,-1,17,0.000000,21,215687,1
2.799998,6,62,-1,6,1.100022,1,215687,1
2.799998,6,62,-1,6,0.000000,2,215687,1
2.799998,6,62,-1,6,0.000000,3,215687,1
2.799998,6,62,-1,6,0.000000,4,215687,1
2.999981,6,62,-1,6,0.199983,5,215687,1
2.999981,6,62,-1,6,0.000000,6,215687,1
2.999981,6,62,-1,6,0.000000,7,215687,1
2.999981,6,62,-1,6,0.000000,8,215687,1
2.999982,6,62,-1,6,0.000001,9,215687,1
2.999982,6,62,-1,6,0.000000,10,215687,1
2.999982,6,62,-1,6,0.000000,11,215687,1
3.000070,6,62,-1,6,0.000088,12,215687,1
3.000070,6,62,-1,6,0.000000,13,215687,1
3.000070,6,62,-1,6,0.000000,14,215687,1
3.000070,6,62,-1,6,0.000000,15,215687,1
3.000070,6,63,-1,6,0.000000,16,215687,1
3.000070,6,63,-1,6,0.000000,17,215687,1
3.000070,6,63,-1,6,0.000000,18,215687,1
3.000071,6,63,-1,6,0.000001,19,215687,1
3.000166,6,63,-1,6,0.000095,20,215687,1
3.000166,6,63,-1,6,0.000000,21,215687,1
4.199975,6,63,-1,6,1.199809,1,215687,1
4.199975,6,63,-1,6,0.000000,2,215687,1
4.199975,6,63,-1,6,0.000000,3,215687,1
4.199975,6,63,-1,6,0.000000,4,215687,1
4.199975,6,63,-1,6,0.000000,5,215687,1
4.199975,6,63,-1,6,0.000000,6,215687,1
4.200093,6,63,-1,6,0.000118,7,215687,1
4.200093,6,63,-1,6,0.000000,8,215687,1
4.200093,6,63,-1,6,0.000000,9,215687,1
4.200093,6,63,-1,6,0.000000,10,215687,1
4.200093,6,63,-1,6,0.000000,11,215687,1
4.200093,6,63,-1,6,0.000000,12,215687,1
4.200093,6,63,-1,6,0.000000,13,215687,1
4.399975,6,63,-1,6,0.199882,14,215687,1
4.399976,6,63,-1,6,0.000001,15,215687,1
4.399976,6,63,-1,6,0.000000,16,215687,1
4.399976,6,63,-1,6,0.000000,17,215687,1
4.399976,6,63,-1,6,0.000000,18,215687,1
4.399976,6,63,-1,6,0.000000,19,215687,1
4.399976,6,63,-1,6,0.000000,20,215687,1
