t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,3,316496,1
0.000215,17,50,-1,17,0.000215,4,316496,1
0.001244,17,50,-1,17,0.001029,5,316496,1
0.006972,17,50,-1,17,0.005728,6,316496,1
0.008125,17,50,-1,17,0.001153,7,316496,1
0.009329,17,50,-1,17,0.001204,8,316496,1
0.014656,17,50,-1,17,0.005327,9,316496,1
0.016057,17,50,-1,17,0.001401,10,316496,1
0.017215,17,50,-1,17,0.001158,11,316496,1
0.022416,17,50,-1,17,0.005201,12,316496,1
0.023576,17,50,-1,17,0.001160,13,316496,1
0.099985,17,50,-1,17,0.076409,14,316496,1
0.099986,17,50,-1,17,0.000001,15,316496,1
0.099986,17,50,-1,17,0.000000,16,316496,1
0.099986,17,50,-1,17,0.000000,17,316496,1
0.099986,17,50,-1,17,0.000000,18,316496,1
0.099986,17,50,-1,17,0.000000,19,316496,1
0.099986,17,50,-1,17,0.000000,20,316496,1
0.099986,17,50,-1,17,0.000000,21,316496,1
0.100042,17,50,-1,17,0.000056,22,316496,1
0.100043,17,50,-1,17,0.000001,23,316496,1
1.011653,17,50,-1,17,0.911610,3,316496,1
1.012826,17,50,-1,17,0.001173,4,316496,1
1.013984,17,50,-1,17,0.001158,5,316496,1
1.019125,17,50,-1,17,0.005141,6,316496,1
1.020133,17,50,-1,17,0.001008,7,316496,1
1.021214,17,50,-1,17,0.001081,8,316496,1
1.099982,17,50,-1,17,0.078768,9,316496,1
1.099982,17,50,-1,17,0.000000,10,316496,1
1.099982,17,50,-1,17,0.000000,11,316496,1
1.099982,17,50,-1,17,0.000000,12,316496,1
1.099982,17,50,-1,17,0.000000,13,316496,1
1.099982,17,50,-1,17,0.000000,14,316496,1
1.099982,17,50,-1,17,0.000000,15,316496,1
1.099982,17,50,-1,17,0.000000,16,316496,1
1.100063,17,50,-1,17,0.000081,17,316496,1
1.100063,17,50,-1,17,0.000000,18,316496,1
1.100063,17,50,-1,17,0.000000,19,316496,1
1.100063,17,50,-1,17,0.000000,20,316496,1
1.100063,17,50,-1,17,0.000000,21,316496,1
1.100063,17,50,-1,17,0.000000,22,316496,1
1.100063,17,50,-1,17,0.000000,23,316496,1
2.099993,6,62,-1,6,0.999930,3,316496,1
2.099993,6,62,-1,6,0.000000,4,316496,1
2.099993,6,62,-1,6,0.000000,5,316496,1
2.099993,6,62,-1,6,0.000000,6,316496,1
2.099993,6,62,-1,6,0.000000,7,316496,1
2.099993,6,62,-1,6,0.000000,8,316496,1
2.099993,6,62,-1,6,0.000000,9,316496,1
2.099993,6,62,-1,6,0.000000,10,316496,1
2.100204,6,62,-1,6,0.000211,11,316496,1
2.100204,6,62,-1,6,0.000000,12,316496,1
2.100204,6,62,-1,6,0.000000,13,316496,1
2.100204,6,62,-1,6,0.000000,14,316496,1
2.100204,6,62,-1,6,0.000000,15,316496,1
2.100204,6,62,-1,6,0.000000,16,316496,1
2.100204,6,62,-1,6,0.000000,17,316496,1
2.100204,6,63,-1,6,0.000000,18,316496,1
2.100300,6,63,-1,6,0.000096,19,316496,1
2.200024,6,63,-1,6,0.099724,20,316496,1
2.200025,6,63,-1,6,0.000001,21,316496,1
2.200025,6,63,-1,6,0.000000,22,316496,1
2.200025,6,63,-1,6,0.000000,23,316496,1
3.100029,6,63,-1,6,0.900004,3,316496,1
3.100029,6,63,-1,6,0.000000,4,316496,1
3.100442,6,63,-1,6,0.000413,5,316496,1
3.101740,6,63,-1,6,0.001298,6,316496,1
3.106744,6,63,-1,6,0.005004,7,316496,1
3.108311,6,63,-1,6,0.001567,8,316496,1
3.109548,6,63,-1,6,0.001237,9,316496,1
3.114839,6,63,-1,6,0.005291,10,316496,1
3.116138,6,63,-1,6,0.001299,11,316496,1
3.117299,6,63,-1,6,0.001161,12,316496,1
3.122591,6,63,-1,6,0.005292,13,316496,1
3.123844,6,63,-1,6,0.001253,14,316496,1
3.199970,6,63,-1,6,0.076126,15,316496,1
3.199970,6,63,-1,6,0.000000,16,316496,1
3.199970,6,63,-1,6,0.000000,17,316496,1
3.199970,6,63,-1,6,0.000000,18,316496,1
3.199970,6,63,-1,6,0.000000,19,316496,1
3.199970,6,63,-1,6,0.000000,20,316496,1
3.199970,6,63,-1,6,0.000000,21,316496,1
3.199970,6,63,-1,6,0.000000,22,316496,1
3.200138,6,63,-1,6,0.000168,23,316496,1
