t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,1,164635,1
0.004949,17,50,-1,17,0.004949,2,164635,1
0.005838,17,50,-1,17,0.000889,3,164635,1
0.006814,17,50,-1,17,0.000976,4,164635,1
0.012563,17,50,-1,17,0.005749,5,164635,1
0.013518,17,50,-1,17,0.000955,6,164635,1
0.014401,17,50,-1,17,0.000883,7,164635,1
0.015287,17,50,-1,17,0.000886,8,164635,1
0.016163,17,50,-1,17,0.000876,9,164635,1
0.021141,17,50,-1,17,0.004978,10,164635,1
0.022058,17,50,-1,17,0.000917,11,164635,1
0.022960,17,50,-1,17,0.000902,12,164635,1
0.023842,17,50,-1,17,0.000882,13,164635,1
0.029004,17,50,-1,17,0.005162,14,164635,1
0.029928,17,50,-1,17,0.000924,15,164635,1
0.030818,17,50,-1,17,0.000890,16,164635,1
0.031749,17,50,-1,17,0.000931,17,164635,1
0.036782,17,50,-1,17,0.005033,18,164635,1
0.037738,17,50,-1,17,0.000956,19,164635,1
0.038646,17,50,-1,17,0.000908,20,164635,1
0.039594,17,50,-1,17,0.000948,21,164635,1
1.089003,17,50,-1,17,1.049409,1,164635,1
1.089908,17,50,-1,17,0.000905,2,164635,1
1.090822,17,50,-1,17,0.000914,3,164635,1
1.091843,17,50,-1,17,0.001021,4,164635,1
1.096871,17,50,-1,17,0.005028,5,164635,1
1.097799,17,50,-1,17,0.000928,6,164635,1
1.098673,17,50,-1,17,0.000874,7,164635,1
1.099588,17,50,-1,17,0.000915,8,164635,1
1.104474,17,50,-1,17,0.004886,9,164635,1
1.105406,17,50,-1,17,0.000932,10,164635,1
1.106342,17,50,-1,17,0.000936,11,164635,1
1.107230,17,50,-1,17,0.000888,12,164635,1
1.108477,17,50,-1,17,0.001247,13,164635,1
1.113438,17,50,-1,17,0.004961,14,164635,1
1.114260,17,50,-1,17,0.000822,15,164635,1
1.115136,17,50,-1,17,0.000876,16,164635,1
1.116033,17,50,-1,17,0.000897,17,164635,1
1.120965,17,50,-1,17,0.004932,18,164635,1
1.121891,17,50,-1,17,0.000926,19,164635,1
1.122770,17,50,-1,17,0.000879,20,164635,1
1.123713,17,50,-1,17,0.000943,21,164635,1
2.182363,6,62,-1,6,1.058650,1,164635,1
2.183380,6,62,-1,6,0.001017,2,164635,1
2.184386,6,62,-1,6,0.001006,3,164635,1
2.189555,6,62,-1,6,0.005169,4,164635,1
2.190631,6,62,-1,6,0.001076,5,164635,1
2.191683,6,62,-1,6,0.001052,6,164635,1
2.196892,6,62,-1,6,0.005209,7,164635,1
2.197949,6,62,-1,6,0.001057,8,164635,1
2.198966,6,62,-1,6,0.001017,9,164635,1
2.200128,6,62,-1,6,0.001162,10,164635,1
2.205271,6,62,-1,6,0.005143,11,164635,1
2.206301,6,62,-1,6,0.001030,12,164635,1
2.207322,6,62,-1,6,0.001021,13,164635,1
2.208332,6,62,-1,6,0.001010,14,164635,1
2.213533,6,62,-1,6,0.005201,15,164635,1
2.214532,6,63,-1,6,0.000999,16,164635,1
2.215533,6,63,-1,6,0.001001,17,164635,1
2.220590,6,63,-1,6,0.005057,18,164635,1
2.221695,6,63,-1,6,0.001105,19,164635,1
2.222702,6,63,-1,6,0.001007,20,164635,1
2.223683,6,63,-1,6,0.000981,21,164635,1
3.282064,6,63,-1,6,1.058381,1,164635,1
3.283050,6,63,-1,6,0.000986,2,164635,1
3.284072,6,63,-1,6,0.001022,3,164635,1
3.289204,6,63,-1,6,0.005132,4,164635,1
3.290278,6,63,-1,6,0.001074,5,164635,1
3.291318,6,63,-1,6,0.001040,6,164635,1
3.292343,6,63,-1,6,0.001025,7,164635,1
3.297447,6,63,-1,6,0.005104,8,164635,1
