t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,1,223656,1
0.000000,17,50,-1,17,0.000000,2,223656,1
0.000000,17,50,-1,17,0.000000,3,223656,1
0.000000,17,50,-1,17,0.000000,4,223656,1
0.240195,17,50,-1,17,0.240195,5,223656,1
0.240196,17,50,-1,17,0.000001,6,223656,1
0.240196,17,50,-1,17,0.000000,7,223656,1
0.240196,17,50,-1,17,0.000000,8,223656,1
0.240196,17,50,-1,17,0.000000,9,223656,1
0.240196,17,50,-1,17,0.000000,10,223656,1
0.240196,17,50,-1,17,0.000000,11,223656,1
0.240196,17,50,-1,17,0.000000,12,223656,1
0.240292,17,50,-1,17,0.000096,13,223656,1
0.240292,17,50,-1,17,0.000000,14,223656,1
0.240292,17,50,-1,17,0.000000,15,223656,1
0.240292,17,50,-1,17,0.000000,16,223656,1
0.240293,17,50,-1,17,0.000001,17,223656,1
0.240293,17,50,-1,17,0.000000,18,223656,1
0.240293,17,50,-1,17,0.000000,19,223656,1
0.240293,17,50,-1,17,0.000000,20,223656,1
0.240307,17,50,-1,17,0.000014,21,223656,1
0.240307,17,50,-1,17,0.000000,22,223656,1
0.240307,17,50,-1,17,0.000000,23,223656,1
0.240307,17,50,-1,17,0.000000,24,223656,1
0.240307,17,50,-1,17,0.000000,25,223656,1
1.169953,17,50,-1,17,0.929646,1,223656,1
1.169953,17,50,-1,17,0.000000,2,223656,1
1.169953,17,50,-1,17,0.000000,3,223656,1
1.169953,17,50,-1,17,0.000000,4,223656,1
1.170045,17,50,-1,17,0.000092,5,223656,1
1.170045,17,50,-1,17,0.000000,6,223656,1
1.170045,17,50,-1,17,0.000000,7,223656,1
1.170045,17,50,-1,17,0.000000,8,223656,1
1.170045,17,50,-1,17,0.000000,9,223656,1
1.170045,17,50,-1,17,0.000000,10,223656,1
1.170045,17,50,-1,17,0.000000,11,223656,1
1.170045,17,50,-1,17,0.000000,12,223656,1
1.170067,17,50,-1,17,0.000022,13,223656,1
1.170067,17,50,-1,17,0.000000,14,223656,1
1.170067,17,50,-1,17,0.000000,15,223656,1
1.170067,17,50,-1,17,0.000000,16,223656,1
1.320385,17,50,-1,17,0.150318,17,223656,1
1.320385,17,50,-1,17,0.000000,18,223656,1
1.320489,17,50,-1,17,0.000104,19,223656,1
1.320489,17,50,-1,17,0.000000,20,223656,1
1.320489,17,50,-1,17,0.000000,21,223656,1
1.320489,17,50,-1,17,0.000000,22,223656,1
1.320490,17,50,-1,17,0.000001,23,223656,1
1.320490,17,50,-1,17,0.000000,24,223656,1
1.320490,17,50,-1,17,0.000000,25,223656,1
2.194148,6,62,-1,6,0.873658,1,223656,1
2.195022,6,62,-1,6,0.000874,2,223656,1
2.196045,6,62,-1,6,0.001023,3,223656,1
2.196908,6,62,-1,6,0.000863,4,223656,1
2.197592,6,62,-1,6,0.000684,5,223656,1
2.198660,6,62,-1,6,0.001068,6,223656,1
2.310795,6,62,-1,6,0.112135,7,223656,1
2.310796,6,62,-1,6,0.000001,8,223656,1
2.310796,6,62,-1,6,0.000000,9,223656,1
2.310796,6,62,-1,6,0.000000,10,223656,1
2.310796,6,62,-1,6,0.000000,11,223656,1
2.310939,6,62,-1,6,0.000143,12,223656,1
2.581083,6,62,-1,6,0.270144,13,223656,1
2.581083,6,62,-1,6,0.000000,14,223656,1
2.581083,6,62,-1,6,0.000000,15,223656,1
2.581083,6,62,-1,6,0.000000,16,223656,1
2.581184,6,62,-1,6,0.000101,17,223656,1
