t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,3,456354,1
0.000000,17,50,-1,17,0.000000,5,456354,1
0.000000,17,50,-1,17,0.000000,7,456354,1
0.000000,17,50,-1,17,0.000000,9,456354,1
0.000000,17,50,-1,17,0.000000,11,456354,1
0.000000,17,50,-1,17,0.000000,2,456354,1
0.000000,17,50,-1,17,0.000000,4,456354,1
0.000000,17,50,-1,17,0.000000,6,456354,1
0.000112,17,50,-1,17,0.000112,8,456354,1
0.000112,17,50,-1,17,0.000000,10,456354,1
0.000112,17,50,-1,17,0.000000,12,456354,1
1.000179,17,50,-1,17,1.000067,3,456354,1
1.001838,17,50,-1,17,0.001659,5,456354,1
1.003369,17,50,-1,17,0.001531,7,456354,1
1.004929,17,50,-1,17,0.001560,9,456354,1
1.006528,17,50,-1,17,0.001599,11,456354,1
1.016048,17,50,-1,17,0.009520,2,456354,1
1.019340,17,50,-1,17,0.003292,4,456354,1
1.020897,17,50,-1,17,0.001557,6,456354,1
1.022441,17,50,-1,17,0.001544,8,456354,1
1.024011,17,50,-1,17,0.001570,10,456354,1
1.025666,17,50,-1,17,0.001655,12,456354,1
2.105560,6,62,-1,6,1.079894,2,456354,1
2.105561,6,62,-1,6,0.000001,4,456354,1
2.105561,6,62,-1,6,0.000000,6,456354,1
2.105561,6,63,-1,6,0.000000,8,456354,1
2.105561,6,63,-1,6,0.000000,10,456354,1
2.105561,6,63,-1,6,0.000000,12,456354,1
2.105561,6,62,-1,6,0.000000,3,456354,1
2.105561,6,62,-1,6,0.000000,5,456354,1
2.105837,6,63,-1,6,0.000276,7,456354,1
2.105837,6,63,-1,6,0.000000,9,456354,1
2.105837,6,63,-1,6,0.000000,11,456354,1
3.099979,6,63,-1,6,0.994142,2,456354,1
3.099980,6,63,-1,6,0.000001,4,456354,1
3.099980,6,63,-1,6,0.000000,6,456354,1
3.099981,6,63,-1,6,0.000001,8,456354,1
3.100921,6,63,-1,6,0.000940,10,456354,1
3.101899,6,63,-1,6,0.000978,12,456354,1
3.104260,6,63,-1,6,0.002361,3,456354,1
3.106192,6,63,-1,6,0.001932,5,456354,1
3.108451,6,63,-1,6,0.002259,7,456354,1
3.110329,6,63,-1,6,0.001878,9,456354,1
3.111994,6,63,-1,6,0.001665,11,456354,1
4.700409,60,59,-1,60,1.588415,2,456354,1
4.700409,60,59,-1,60,0.000000,3,456354,1
4.700409,60,59,-1,60,0.000000,4,456354,1
5.228722,60,59,-1,60,0.528313,2,456354,1
5.229142,60,59,-1,60,0.000420,3,456354,1
5.230994,60,59,-1,60,0.001852,4,456354,1
6.300103,60,59,-1,60,1.069109,232,456354,1
6.314623,60,59,-1,60,0.014520,232,456354,1
6.400106,60,59,-1,60,0.085483,232,456354,1
6.415181,60,59,-1,60,0.015075,232,456354,1
6.500028,60,59,-1,60,0.084847,232,456354,1
