t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,1,135638,1
0.005428,17,50,-1,17,0.005428,2,135638,1
0.005712,17,50,-1,17,0.000284,3,135638,1
0.006664,17,50,-1,17,0.000952,4,135638,1
0.286926,17,50,-1,17,0.280262,5,135638,1
0.288518,17,50,-1,17,0.001592,6,135638,1
0.288999,17,50,-1,17,0.000481,7,135638,1
0.290125,17,50,-1,17,0.001126,8,135638,1
0.292588,17,50,-1,17,0.002463,9,135638,1
0.294696,17,50,-1,17,0.002108,10,135638,1
0.295010,17,50,-1,17,0.000314,11,135638,1
0.297138,17,50,-1,17,0.002128,12,135638,1
0.297910,17,50,-1,17,0.000772,13,135638,1
0.300347,17,50,-1,17,0.002437,14,135638,1
1.225151,17,50,-1,17,0.924804,1,135638,1
1.226409,17,50,-1,17,0.001258,2,135638,1
1.227794,17,50,-1,17,0.001385,3,135638,1
1.229133,17,50,-1,17,0.001339,4,135638,1
1.230587,17,50,-1,17,0.001454,5,135638,1
1.237707,17,50,-1,17,0.007120,7,135638,1
1.237715,17,50,-1,17,0.000008,6,135638,1
1.365633,17,50,-1,17,0.127918,8,135638,1
1.366908,17,50,-1,17,0.001275,9,135638,1
1.369826,17,50,-1,17,0.002918,10,135638,1
1.373709,17,50,-1,17,0.003883,11,135638,1
1.374257,17,50,-1,17,0.000548,12,135638,1
1.375195,17,50,-1,17,0.000938,13,135638,1
1.375942,17,50,-1,17,0.000747,14,135638,1
2.213060,6,62,-1,6,0.837118,1,135638,1
2.218785,6,62,-1,6,0.005725,2,135638,1
2.220162,6,62,-1,6,0.001377,3,135638,1
2.224198,6,62,-1,6,0.004036,4,135638,1
2.226866,6,62,-1,6,0.002668,5,135638,1
2.355586,6,62,-1,6,0.128720,6,135638,1
2.356752,6,62,-1,6,0.001166,7,135638,1
2.362263,6,62,-1,6,0.005511,8,135638,1
2.363539,6,63,-1,6,0.001276,9,135638,1
2.368495,6,63,-1,6,0.004956,10,135638,1
2.369543,6,63,-1,6,0.001048,11,135638,1
2.390014,6,63,-1,6,0.020471,12,135638,1
2.390177,6,63,-1,6,0.000163,13,135638,1
2.391038,6,63,-1,6,0.000861,14,135638,1
3.485714,6,63,-1,6,1.094676,1,135638,1
3.486726,6,63,-1,6,0.001012,2,135638,1
3.490750,6,63,-1,6,0.004024,3,135638,1
3.490987,6,63,-1,6,0.000237,4,135638,1
3.635134,6,63,-1,6,0.144147,5,135638,1
3.636362,6,63,-1,6,0.001228,6,135638,1
3.643405,6,63,-1,6,0.007043,7,135638,1
3.911171,6,63,-1,6,0.267766,8,135638,1
3.912560,6,63,-1,6,0.001389,9,135638,1
3.914250,6,63,-1,6,0.001690,10,135638,1
3.916171,6,63,-1,6,0.001921,11,135638,1
3.918557,6,63,-1,6,0.002386,12,135638,1
3.921163,6,63,-1,6,0.002606,13,135638,1
3.922467,6,63,-1,6,0.001304,14,135638,1
5.223635,60,59,-1,60,1.301168,1,135638,1
5.226977,60,59,-1,60,0.003342,2,135638,1
5.227350,60,59,-1,60,0.000373,3,135638,1
5.227752,60,59,-1,60,0.000402,4,135638,1
5.230631,60,59,-1,60,0.002879,5,135638,1
5.230840,60,59,-1,60,0.000209,6,135638,1
5.231786,60,59,-1,60,0.000946,7,135638,1
5.235067,60,59,-1,60,0.003281,8,135638,1
5.360561,60,59,-1,60,0.125494,9,135638,1
5.362363,60,59,-1,60,0.001802,10,135638,1
5.363911,60,59,-1,60,0.001548,11,135638,1
5.369746,60,59,-1,60,0.005835,12,135638,1
5.370824,60,59,-1,60,0.001078,13,135638,1
5.376429,60,59,-1,60,0.005605,14,135638,1
6.036956,60,59,-1,60,0.660527,1,135638,1
6.038487,60,59,-1,60,0.001531,2,135638,1
6.039805,60,59,-1,60,0.001318,3,135638,1
6.041265,60,59,-1,60,0.001460,4,135638,1
6.042700,60,59,-1,60,0.001435,5,135638,1
6.318022,60,59,-1,60,0.275322,6,135638,1
6.319612,60,59,-1,60,0.001590,7,135638,1
6.321917,60,59,-1,60,0.002305,8,135638,1
6.323510,60,59,-1,60,0.001593,9,135638,1
6.324911,60,59,-1,60,0.001401,10,135638,1
6.326676,60,59,-1,60,0.001765,11,135638,1
6.328479,60,59,-1,60,0.001803,12,135638,1
6.329202,60,59,-1,60,0.000723,13,135638,1
6.331576,60,59,-1,60,0.002374,14,135638,1
7.335021,60,59,-1,60,1.003445,234,135638,1
7.349031,60,59,-1,60,0.014010,234,135638,1
7.363407,60,59,-1,60,0.014376,234,135638,1
7.467842,60,59,-1,60,0.104435,234,135638,1
7.482518,60,59,-1,60,0.014676,234,135638,1
7.496482,60,59,-1,60,0.013964,234,135638,1
7.509378,60,59,-1,60,0.012896,234,135638,1
7.648868,60,59,-1,60,0.139490,234,135638,1
7.665347,60,59,-1,60,0.016479,234,135638,1
7.679489,60,59,-1,60,0.014142,234,135638,1
7.694009,60,59,-1,60,0.014520,234,135638,1
7.795974,60,59,-1,60,0.101965,234,135638,1
7.809687,60,59,-1,60,0.013713,234,135638,1
7.824101,60,59,-1,60,0.014414,234,135638,1
7.837820,60,59,-1,60,0.013719,234,135638,1
7.968697,60,59,-1,60,0.130877,234,135638,1
7.986047,60,59,-1,60,0.017350,234,135638,1
8.060660,60,59,-1,60,0.074613,234,135638,1
8.076989,60,59,-1,60,0.016329,234,135638,1
8.093032,60,59,-1,60,0.016043,234,135638,1
8.110783,60,59,-1,60,0.017751,234,135638,1
8.209583,60,59,-1,60,0.098800,234,135638,1
8.226358,60,59,-1,60,0.016775,234,135638,1
8.301953,60,59,-1,60,0.075595,234,135638,1
8.318551,60,59,-1,60,0.016598,234,135638,1
8.334277,60,59,-1,60,0.015726,234,135638,1
8.349483,60,59,-1,60,0.015206,234,135638,1
