t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,3,145256,1
0.000774,17,50,-1,17,0.000774,4,145256,1
0.002189,17,50,-1,17,0.001415,5,145256,1
0.003644,17,50,-1,17,0.001455,6,145256,1
0.004952,17,50,-1,17,0.001308,7,145256,1
0.006515,17,50,-1,17,0.001563,8,145256,1
0.008127,17,50,-1,17,0.001612,9,145256,1
0.009764,17,50,-1,17,0.001637,10,145256,1
0.011125,17,50,-1,17,0.001361,11,145256,1
0.012970,17,50,-1,17,0.001845,12,145256,1
0.014597,17,50,-1,17,0.001627,13,145256,1
0.016005,17,50,-1,17,0.001408,14,145256,1
0.017462,17,50,-1,17,0.001457,15,145256,1
0.019131,17,50,-1,17,0.001669,16,145256,1
0.020628,17,50,-1,17,0.001497,17,145256,1
0.023821,17,50,-1,17,0.003193,18,145256,1
0.025185,17,50,-1,17,0.001364,19,145256,1
1.013029,17,50,-1,17,0.987844,3,145256,1
1.013961,17,50,-1,17,0.000932,4,145256,1
1.015175,17,50,-1,17,0.001214,5,145256,1
1.016274,17,50,-1,17,0.001099,6,145256,1
1.017701,17,50,-1,17,0.001427,7,145256,1
1.018657,17,50,-1,17,0.000956,8,145256,1
1.019760,17,50,-1,17,0.001103,9,145256,1
1.020638,17,50,-1,17,0.000878,10,145256,1
1.021879,17,50,-1,17,0.001241,11,145256,1
1.023000,17,50,-1,17,0.001121,12,145256,1
1.024182,17,50,-1,17,0.001182,13,145256,1
1.025381,17,50,-1,17,0.001199,14,145256,1
1.026656,17,50,-1,17,0.001275,15,145256,1
1.027998,17,50,-1,17,0.001342,16,145256,1
1.028918,17,50,-1,17,0.000920,17,145256,1
1.029882,17,50,-1,17,0.000964,18,145256,1
1.030711,17,50,-1,17,0.000829,19,145256,1
2.078588,6,62,-1,6,1.047877,3,145256,1
2.079954,6,62,-1,6,0.001366,4,145256,1
2.081755,6,62,-1,6,0.001801,5,145256,1
2.082983,6,62,-1,6,0.001228,6,145256,1
2.084402,6,62,-1,6,0.001419,7,145256,1
