t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,1,348955,1
0.002128,17,50,-1,17,0.002128,2,348955,1
0.008764,17,50,-1,17,0.006636,3,348955,1
0.010975,17,50,-1,17,0.002211,4,348955,1
0.016844,17,50,-1,17,0.005869,5,348955,1
0.018471,17,50,-1,17,0.001627,6,348955,1
0.023949,17,50,-1,17,0.005478,7,348955,1
0.025710,17,50,-1,17,0.001761,8,348955,1
0.027347,17,50,-1,17,0.001637,9,348955,1
0.033499,17,50,-1,17,0.006152,10,348955,1
0.039881,17,50,-1,17,0.006382,11,348955,1
0.042500,17,50,-1,17,0.002619,12,348955,1
1.057885,17,50,-1,17,1.015385,1,348955,1
1.059833,17,50,-1,17,0.001948,2,348955,1
1.062384,17,50,-1,17,0.002551,3,348955,1
1.068556,17,50,-1,17,0.006172,4,348955,1
1.070377,17,50,-1,17,0.001821,5,348955,1
1.076188,17,50,-1,17,0.005811,6,348955,1
1.078364,17,50,-1,17,0.002176,7,348955,1
1.085239,17,50,-1,17,0.006875,8,348955,1
1.087251,17,50,-1,17,0.002012,9,348955,1
1.093457,17,50,-1,17,0.006206,10,348955,1
1.099694,17,50,-1,17,0.006237,11,348955,1
1.102352,17,50,-1,17,0.002658,12,348955,1
2.227776,6,62,-1,6,1.125424,1,348955,1
2.235520,6,62,-1,6,0.007744,2,348955,1
2.238196,6,62,-1,6,0.002676,3,348955,1
2.245626,6,62,-1,6,0.007430,4,348955,1
2.247587,6,62,-1,6,0.001961,5,348955,1
2.253682,6,62,-1,6,0.006095,6,348955,1
2.255400,6,63,-1,6,0.001718,7,348955,1
2.266445,6,63,-1,6,0.011045,8,348955,1
2.281996,6,63,-1,6,0.015551,9,348955,1
2.288419,6,63,-1,6,0.006423,10,348955,1
2.290509,6,63,-1,6,0.002090,11,348955,1
2.296390,6,63,-1,6,0.005881,12,348955,1
3.227957,6,63,-1,6,0.931567,1,348955,1
3.230064,6,63,-1,6,0.002107,2,348955,1
3.237143,6,63,-1,6,0.007079,3,348955,1
3.238143,6,63,-1,6,0.001000,4,348955,1
3.244761,6,63,-1,6,0.006618,5,348955,1
3.246575,6,63,-1,6,0.001814,6,348955,1
3.252822,6,63,-1,6,0.006247,7,348955,1
3.254947,6,63,-1,6,0.002125,8,348955,1
3.265158,6,63,-1,6,0.010211,9,348955,1
3.269141,6,63,-1,6,0.003983,10,348955,1
3.273148,6,63,-1,6,0.004007,11,348955,1
3.276802,6,63,-1,6,0.003654,12,348955,1
4.804800,60,59,-1,60,1.527998,1,348955,1
4.811274,60,59,-1,60,0.006474,2,348955,1
4.813674,60,59,-1,60,0.002400,3,348955,1
5.521180,60,59,-1,60,0.707506,1,348955,1
5.528896,60,59,-1,60,0.007716,2,348955,1
5.535863,60,59,-1,60,0.006967,3,348955,1
6.547669,60,59,-1,60,1.011806,232,348955,1
6.564105,60,59,-1,60,0.016436,232,348955,1
6.580353,60,59,-1,60,0.016248,232,348955,1
6.597141,60,59,-1,60,0.016788,232,348955,1
6.617286,60,59,-1,60,0.020145,232,348955,1
6.636978,60,59,-1,60,0.019692,232,348955,1
6.656177,60,59,-1,60,0.019199,232,348955,1
6.672971,60,59,-1,60,0.016794,232,348955,1
6.692187,60,59,-1,60,0.019216,232,348955,1
6.709583,60,59,-1,60,0.017396,232,348955,1
6.729719,60,59,-1,60,0.020136,232,348955,1
6.754335,60,59,-1,60,0.024616,232,348955,1
6.771592,60,59,-1,60,0.017257,232,348955,1
6.793481,60,59,-1,60,0.021889,232,348955,1
6.813794,60,59,-1,60,0.020313,232,348955,1
6.839654,60,59,-1,60,0.025860,232,348955,1
6.856903,60,59,-1,60,0.017249,232,348955,1
6.877794,60,59,-1,60,0.020891,232,348955,1
6.907364,60,59,-1,60,0.029570,232,348955,1
6.921088,60,59,-1,60,0.013724,232,348955,1
6.945949,60,59,-1,60,0.024861,232,348955,1
6.963341,60,59,-1,60,0.017392,232,348955,1
6.989995,60,59,-1,60,0.026654,232,348955,1
7.011627,60,59,-1,60,0.021632,232,348955,1
7.028063,60,59,-1,60,0.016436,232,348955,1
7.051378,60,59,-1,60,0.023315,232,348955,1
7.068388,60,59,-1,60,0.017010,232,348955,1
7.094237,60,59,-1,60,0.025849,232,348955,1
7.112248,60,59,-1,60,0.018011,232,348955,1
7.127583,60,59,-1,60,0.015335,232,348955,1
7.654195,60,71,-1,60,0.526612,1,348955,1
7.657249,60,71,-1,60,0.003054,2,348955,1
7.664553,60,71,-1,60,0.007304,3,348955,1
8.481780,60,71,-1,60,0.817227,1,348955,1
8.489320,60,71,-1,60,0.007540,2,348955,1
8.497193,60,71,-1,60,0.007873,3,348955,1
9.512008,60,71,-1,60,1.014815,232,348955,1
9.529831,60,71,-1,60,0.017823,232,348955,1
9.552860,60,71,-1,60,0.023029,232,348955,1
9.585059,60,71,-1,60,0.032199,232,348955,1
9.611467,60,71,-1,60,0.026408,232,348955,1
9.625794,60,71,-1,60,0.014327,232,348955,1
9.649357,60,71,-1,60,0.023563,232,348955,1
9.669103,60,71,-1,60,0.019746,232,348955,1
9.689573,60,71,-1,60,0.020470,232,348955,1
9.709398,60,71,-1,60,0.019825,232,348955,1
9.735373,60,71,-1,60,0.025975,232,348955,1
9.751483,60,71,-1,60,0.016110,232,348955,1
9.769103,60,71,-1,60,0.017620,232,348955,1
9.788738,60,71,-1,60,0.019635,232,348955,1
9.814652,60,71,-1,60,0.025914,232,348955,1
9.832855,60,71,-1,60,0.018203,232,348955,1
9.853840,60,71,-1,60,0.020985,232,348955,1
9.879404,60,71,-1,60,0.025564,232,348955,1
9.897591,60,71,-1,60,0.018187,232,348955,1
9.923264,60,71,-1,60,0.025673,232,348955,1
9.941091,60,71,-1,60,0.017827,232,348955,1
9.965990,60,71,-1,60,0.024899,232,348955,1
9.985861,60,71,-1,60,0.019871,232,348955,1
10.012067,60,71,-1,60,0.026206,232,348955,1
10.029566,60,71,-1,60,0.017499,232,348955,1
10.054504,60,71,-1,60,0.024938,232,348955,1
10.073633,60,71,-1,60,0.019129,232,348955,1
10.102655,60,71,-1,60,0.029022,232,348955,1
10.120558,60,71,-1,60,0.017903,232,348955,1
10.141627,60,71,-1,60,0.021069,232,348955,1
11.605260,60,67,-1,60,1.463633,1,348955,1
11.607736,60,67,-1,60,0.002476,2,348955,1
11.614337,60,67,-1,60,0.006601,3,348955,1
12.309096,60,67,-1,60,0.694759,1,348955,1
12.315515,60,67,-1,60,0.006419,2,348955,1
12.317977,60,67,-1,60,0.002462,3,348955,1
13.340325,60,67,-1,60,1.022348,232,348955,1
13.365099,60,67,-1,60,0.024774,232,348955,1
13.389701,60,67,-1,60,0.024602,232,348955,1
13.409372,60,67,-1,60,0.019671,232,348955,1
13.439891,60,67,-1,60,0.030519,232,348955,1
13.463072,60,67,-1,60,0.023181,232,348955,1
13.489851,60,67,-1,60,0.026779,232,348955,1
13.522017,60,67,-1,60,0.032166,232,348955,1
13.550192,60,67,-1,60,0.028175,232,348955,1
13.570047,60,67,-1,60,0.019855,232,348955,1
13.599558,60,67,-1,60,0.029511,232,348955,1
13.628801,60,67,-1,60,0.029243,232,348955,1
13.652705,60,67,-1,60,0.023904,232,348955,1
13.695712,60,67,-1,60,0.043007,232,348955,1
13.716844,60,67,-1,60,0.021132,232,348955,1
13.746572,60,67,-1,60,0.029728,232,348955,1
13.772024,60,67,-1,60,0.025452,232,348955,1
13.796255,60,67,-1,60,0.024231,232,348955,1
13.831583,60,67,-1,60,0.035328,232,348955,1
13.859554,60,67,-1,60,0.027971,232,348955,1
13.884411,60,67,-1,60,0.024857,232,348955,1
13.910734,60,67,-1,60,0.026323,232,348955,1
13.948971,60,67,-1,60,0.038237,232,348955,1
13.980115,60,67,-1,60,0.031144,232,348955,1
14.009331,60,67,-1,60,0.029216,232,348955,1
14.035408,60,67,-1,60,0.026077,232,348955,1
14.058140,60,67,-1,60,0.022732,232,348955,1
14.082865,60,67,-1,60,0.024725,232,348955,1
14.107842,60,67,-1,60,0.024977,232,348955,1
14.130691,60,67,-1,60,0.022849,232,348955,1
14.691015,60,79,-1,60,0.560324,1,348955,1
14.699423,60,79,-1,60,0.008408,2,348955,1
14.707300,60,79,-1,60,0.007877,3,348955,1
15.503239,60,79,-1,60,0.795939,1,348955,1
15.511645,60,79,-1,60,0.008406,2,348955,1
15.519736,60,79,-1,60,0.008091,3,348955,1
16.534180,60,79,-1,60,1.014444,232,348955,1
16.554098,60,79,-1,60,0.019918,232,348955,1
16.582605,60,79,-1,60,0.028507,232,348955,1
16.601711,60,79,-1,60,0.019106,232,348955,1
16.631568,60,79,-1,60,0.029857,232,348955,1
16.649738,60,79,-1,60,0.018170,232,348955,1
16.675547,60,79,-1,60,0.025809,232,348955,1
16.711340,60,79,-1,60,0.035793,232,348955,1
16.731529,60,79,-1,60,0.020189,232,348955,1
16.771168,60,79,-1,60,0.039639,232,348955,1
16.789588,60,79,-1,60,0.018420,232,348955,1
16.817471,60,79,-1,60,0.027883,232,348955,1
16.843128,60,79,-1,60,0.025657,232,348955,1
16.861110,60,79,-1,60,0.017982,232,348955,1
16.887061,60,79,-1,60,0.025951,232,348955,1
16.906042,60,79,-1,60,0.018981,232,348955,1
16.928716,60,79,-1,60,0.022674,232,348955,1
16.949963,60,79,-1,60,0.021247,232,348955,1
16.975566,60,79,-1,60,0.025603,232,348955,1
16.993077,60,79,-1,60,0.017511,232,348955,1
17.018792,60,79,-1,60,0.025715,232,348955,1
17.037650,60,79,-1,60,0.018858,232,348955,1
17.068430,60,79,-1,60,0.030780,232,348955,1
17.090523,60,79,-1,60,0.022093,232,348955,1
17.109629,60,79,-1,60,0.019106,232,348955,1
17.134326,60,79,-1,60,0.024697,232,348955,1
17.156143,60,79,-1,60,0.021817,232,348955,1
17.172560,60,79,-1,60,0.016417,232,348955,1
17.192594,60,79,-1,60,0.020034,232,348955,1
17.212992,60,79,-1,60,0.020398,232,348955,1
18.667785,60,75,-1,60,1.454793,1,348955,1
