t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,1,152649,1
0.000797,17,50,-1,17,0.000797,2,152649,1
0.002194,17,50,-1,17,0.001397,3,152649,1
0.003542,17,50,-1,17,0.001348,4,152649,1
0.004776,17,50,-1,17,0.001234,5,152649,1
0.006166,17,50,-1,17,0.001390,6,152649,1
0.007407,17,50,-1,17,0.001241,7,152649,1
0.008716,17,50,-1,17,0.001309,8,152649,1
0.010161,17,50,-1,17,0.001445,9,152649,1
0.011431,17,50,-1,17,0.001270,10,152649,1
0.012728,17,50,-1,17,0.001297,11,152649,1
0.014048,17,50,-1,17,0.001320,12,152649,1
0.015347,17,50,-1,17,0.001299,13,152649,1
0.016651,17,50,-1,17,0.001304,14,152649,1
0.017940,17,50,-1,17,0.001289,15,152649,1
0.019311,17,50,-1,17,0.001371,16,152649,1
0.020556,17,50,-1,17,0.001245,17,152649,1
0.022013,17,50,-1,17,0.001457,18,152649,1
0.023360,17,50,-1,17,0.001347,19,152649,1
0.024633,17,50,-1,17,0.001273,20,152649,1
0.026054,17,50,-1,17,0.001421,21,152649,1
0.027343,17,50,-1,17,0.001289,22,152649,1
0.028652,17,50,-1,17,0.001309,23,152649,1
0.983229,17,50,-1,17,0.954577,1,152649,1
0.984463,17,50,-1,17,0.001234,2,152649,1
0.985791,17,50,-1,17,0.001328,3,152649,1
0.987104,17,50,-1,17,0.001313,4,152649,1
0.988456,17,50,-1,17,0.001352,5,152649,1
0.989859,17,50,-1,17,0.001403,6,152649,1
0.991179,17,50,-1,17,0.001320,7,152649,1
0.992751,17,50,-1,17,0.001572,8,152649,1
0.993965,17,50,-1,17,0.001214,9,152649,1
0.995333,17,50,-1,17,0.001368,10,152649,1
0.996776,17,50,-1,17,0.001443,11,152649,1
0.998123,17,50,-1,17,0.001347,12,152649,1
0.999398,17,50,-1,17,0.001275,13,152649,1
1.000722,17,50,-1,17,0.001324,14,152649,1
1.002157,17,50,-1,17,0.001435,15,152649,1
1.003425,17,50,-1,17,0.001268,16,152649,1
1.004866,17,50,-1,17,0.001441,17,152649,1
1.006215,17,50,-1,17,0.001349,18,152649,1
1.007588,17,50,-1,17,0.001373,19,152649,1
1.008865,17,50,-1,17,0.001277,20,152649,1
1.010166,17,50,-1,17,0.001301,21,152649,1
1.011492,17,50,-1,17,0.001326,22,152649,1
1.012798,17,50,-1,17,0.001306,23,152649,1
2.103478,6,62,-1,6,1.090680,1,152649,1
2.106733,6,62,-1,6,0.003255,2,152649,1
2.110461,6,62,-1,6,0.003728,3,152649,1
2.114161,6,62,-1,6,0.003700,4,152649,1
2.118136,6,62,-1,6,0.003975,5,152649,1
2.121806,6,62,-1,6,0.003670,6,152649,1
2.125442,6,62,-1,6,0.003636,7,152649,1
2.129109,6,62,-1,6,0.003667,8,152649,1
2.132722,6,62,-1,6,0.003613,9,152649,1
2.147441,6,62,-1,6,0.014719,10,152649,1
2.151177,6,62,-1,6,0.003736,11,152649,1
2.163637,6,62,-1,6,0.012460,12,152649,1
2.167344,6,62,-1,6,0.003707,13,152649,1
2.180831,6,62,-1,6,0.013487,14,152649,1
2.184629,6,62,-1,6,0.003798,15,152649,1
2.188469,6,62,-1,6,0.003840,16,152649,1
2.203004,6,62,-1,6,0.014535,17,152649,1
2.206738,6,63,-1,6,0.003734,18,152649,1
2.221723,6,63,-1,6,0.014985,19,152649,1
2.225654,6,63,-1,6,0.003931,20,152649,1
2.229344,6,63,-1,6,0.003690,21,152649,1
2.241650,6,63,-1,6,0.012306,22,152649,1
2.245255,6,63,-1,6,0.003605,23,152649,1
3.119921,6,63,-1,6,0.874666,1,152649,1
3.121297,6,63,-1,6,0.001376,2,152649,1
3.122941,6,63,-1,6,0.001644,3,152649,1
3.124408,6,63,-1,6,0.001467,4,152649,1
3.125913,6,63,-1,6,0.001505,5,152649,1
3.127318,6,63,-1,6,0.001405,6,152649,1
3.128782,6,63,-1,6,0.001464,7,152649,1
3.130306,6,63,-1,6,0.001524,8,152649,1
3.131774,6,63,-1,6,0.001468,9,152649,1
3.133189,6,63,-1,6,0.001415,10,152649,1
3.136024,6,63,-1,6,0.002835,11,152649,1
3.138722,6,63,-1,6,0.002698,12,152649,1
3.140677,6,63,-1,6,0.001955,13,152649,1
3.142752,6,63,-1,6,0.002075,14,152649,1
3.144725,6,63,-1,6,0.001973,15,152649,1
