t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,1,125648,1
0.000000,17,50,-1,17,0.000000,2,125648,1
0.000000,17,50,-1,17,0.000000,3,125648,1
0.000000,17,50,-1,17,0.000000,4,125648,1
0.000000,17,50,-1,17,0.000000,5,125648,1
0.000001,17,50,-1,17,0.000001,6,125648,1
0.000001,17,50,-1,17,0.000000,7,125648,1
0.000001,17,50,-1,17,0.000000,8,125648,1
0.000244,17,50,-1,17,0.000243,9,125648,1
0.000244,17,50,-1,17,0.000000,10,125648,1
0.000244,17,50,-1,17,0.000000,11,125648,1
0.000705,17,50,-1,17,0.000461,12,125648,1
0.001558,17,50,-1,17,0.000853,13,125648,1
0.002246,17,50,-1,17,0.000688,14,125648,1
0.003053,17,50,-1,17,0.000807,15,125648,1
0.003853,17,50,-1,17,0.000800,16,125648,1
0.004628,17,50,-1,17,0.000775,17,125648,1
0.005412,17,50,-1,17,0.000784,18,125648,1
0.006272,17,50,-1,17,0.000860,19,125648,1
0.007133,17,50,-1,17,0.000861,20,125648,1
0.199967,17,50,-1,17,0.192834,21,125648,1
1.199924,17,50,-1,17,0.999957,1,125648,1
1.199924,17,50,-1,17,0.000000,2,125648,1
1.199924,17,50,-1,17,0.000000,3,125648,1
1.199924,17,50,-1,17,0.000000,4,125648,1
1.199924,17,50,-1,17,0.000000,5,125648,1
1.204606,17,50,-1,17,0.004682,6,125648,1
1.205821,17,50,-1,17,0.001215,7,125648,1
1.207458,17,50,-1,17,0.001637,8,125648,1
1.399935,17,50,-1,17,0.192477,9,125648,1
1.399935,17,50,-1,17,0.000000,10,125648,1
1.399935,17,50,-1,17,0.000000,11,125648,1
1.399935,17,50,-1,17,0.000000,12,125648,1
1.399935,17,50,-1,17,0.000000,13,125648,1
1.399935,17,50,-1,17,0.000000,14,125648,1
1.400929,17,50,-1,17,0.000994,15,125648,1
1.402068,17,50,-1,17,0.001139,16,125648,1
1.405728,17,50,-1,17,0.003660,17,125648,1
1.406832,17,50,-1,17,0.001104,18,125648,1
1.407665,17,50,-1,17,0.000833,19,125648,1
1.599957,17,50,-1,17,0.192292,20,125648,1
1.599957,17,50,-1,17,0.000000,21,125648,1
2.299925,6,62,-1,6,0.699968,1,125648,1
2.300181,6,62,-1,6,0.000256,2,125648,1
2.499961,6,62,-1,6,0.199780,3,125648,1
2.499961,6,62,-1,6,0.000000,4,125648,1
2.499961,6,62,-1,6,0.000000,5,125648,1
2.499961,6,62,-1,6,0.000000,6,125648,1
2.499961,6,62,-1,6,0.000000,7,125648,1
2.499961,6,62,-1,6,0.000000,8,125648,1
2.499962,6,62,-1,6,0.000001,9,125648,1
2.500132,6,62,-1,6,0.000170,10,125648,1
2.500132,6,62,-1,6,0.000000,11,125648,1
2.500132,6,62,-1,6,0.000000,12,125648,1
2.500132,6,62,-1,6,0.000000,13,125648,1
2.500132,6,62,-1,6,0.000000,14,125648,1
2.500132,6,62,-1,6,0.000000,15,125648,1
2.899959,6,63,-1,6,0.399827,16,125648,1
2.899960,6,63,-1,6,0.000001,17,125648,1
2.899960,6,63,-1,6,0.000000,18,125648,1
2.899960,6,63,-1,6,0.000000,19,125648,1
2.899960,6,63,-1,6,0.000000,20,125648,1
2.899960,6,63,-1,6,0.000000,21,125648,1
3.499925,6,63,-1,6,0.599965,1,125648,1
3.499925,6,63,-1,6,0.000000,2,125648,1
3.599944,6,63,-1,6,0.100019,3,125648,1
3.799924,6,63,-1,6,0.199980,4,125648,1
3.799924,6,63,-1,6,0.000000,5,125648,1
3.799924,6,63,-1,6,0.000000,6,125648,1
3.799924,6,63,-1,6,0.000000,7,125648,1
3.799924,6,63,-1,6,0.000000,8,125648,1
3.799924,6,63,-1,6,0.000000,9,125648,1
3.799924,6,63,-1,6,0.000000,10,125648,1
3.800104,6,63,-1,6,0.000180,11,125648,1
3.800104,6,63,-1,6,0.000000,12,125648,1
3.800104,6,63,-1,6,0.000000,13,125648,1
3.800104,6,63,-1,6,0.000000,14,125648,1
3.800105,6,63,-1,6,0.000001,15,125648,1
3.800105,6,63,-1,6,0.000000,16,125648,1
3.800105,6,63,-1,6,0.000000,17,125648,1
3.800105,6,63,-1,6,0.000000,18,125648,1
3.800284,6,63,-1,6,0.000179,19,125648,1
3.801139,6,63,-1,6,0.000855,20,125648,1
4.000044,6,63,-1,6,0.198905,21,125648,1
5.099944,60,59,-1,60,1.099900,1,125648,1
5.099945,60,59,-1,60,0.000001,2,125648,1
5.700769,60,59,-1,60,0.600824,1,125648,1
5.701746,60,59,-1,60,0.000977,2,125648,1
6.799996,60,59,-1,60,1.098250,240,125648,1
6.899902,60,59,-1,60,0.099906,240,125648,1
7.000025,60,59,-1,60,0.100123,240,125648,1
7.000026,60,59,-1,60,0.000001,240,125648,1
7.199921,60,59,-1,60,0.199895,240,125648,1
7.199921,60,59,-1,60,0.000000,240,125648,1
7.399909,60,59,-1,60,0.199988,240,125648,1
7.399909,60,59,-1,60,0.000000,240,125648,1
7.399909,60,59,-1,60,0.000000,240,125648,1
7.399909,60,59,-1,60,0.000000,240,125648,1
7.500349,60,59,-1,60,0.100440,240,125648,1
7.500349,60,59,-1,60,0.000000,240,125648,1
7.599900,60,59,-1,60,0.099551,240,125648,1
7.599987,60,59,-1,60,0.000087,240,125648,1
7.700057,60,59,-1,60,0.100070,240,125648,1
7.700057,60,59,-1,60,0.000000,240,125648,1
7.799899,60,59,-1,60,0.099842,240,125648,1
7.799899,60,59,-1,60,0.000000,240,125648,1
7.899868,60,59,-1,60,0.099969,240,125648,1
7.899868,60,59,-1,60,0.000000,240,125648,1
8.000355,60,59,-1,60,0.100487,240,125648,1
8.000355,60,59,-1,60,0.000000,240,125648,1
8.099883,60,59,-1,60,0.099528,240,125648,1
8.099883,60,59,-1,60,0.000000,240,125648,1
8.199907,60,59,-1,60,0.100024,240,125648,1
8.199907,60,59,-1,60,0.000000,240,125648,1
8.299905,60,59,-1,60,0.099998,240,125648,1
8.299905,60,59,-1,60,0.000000,240,125648,1
8.399894,60,59,-1,60,0.099989,240,125648,1
8.399895,60,59,-1,60,0.000001,240,125648,1
8.899877,60,71,-1,60,0.499982,1,125648,1
8.899877,60,71,-1,60,0.000000,2,125648,1
8.899877,60,71,-1,60,0.000000,3,125648,1
9.501328,60,71,-1,60,0.601451,1,125648,1
9.502467,60,71,-1,60,0.001139,2,125648,1
9.503442,60,71,-1,60,0.000975,3,125648,1
10.699876,60,71,-1,60,1.196434,241,125648,1
10.699876,60,71,-1,60,0.000000,241,125648,1
10.799891,60,71,-1,60,0.100015,241,125648,1
10.799891,60,71,-1,60,0.000000,241,125648,1
10.899860,60,71,-1,60,0.099969,241,125648,1
10.899860,60,71,-1,60,0.000000,241,125648,1
10.999882,60,71,-1,60,0.100022,241,125648,1
10.999882,60,71,-1,60,0.000000,241,125648,1
11.099879,60,71,-1,60,0.099997,241,125648,1
11.099879,60,71,-1,60,0.000000,241,125648,1
11.199874,60,71,-1,60,0.099995,241,125648,1
11.199875,60,71,-1,60,0.000001,241,125648,1
11.300279,60,71,-1,60,0.100404,241,125648,1
11.300279,60,71,-1,60,0.000000,241,125648,1
11.399870,60,71,-1,60,0.099591,241,125648,1
11.399870,60,71,-1,60,0.000000,241,125648,1
11.500022,60,71,-1,60,0.100152,241,125648,1
11.500022,60,71,-1,60,0.000000,241,125648,1
11.599870,60,71,-1,60,0.099848,241,125648,1
11.599870,60,71,-1,60,0.000000,241,125648,1
11.699849,60,71,-1,60,0.099979,241,125648,1
11.699849,60,71,-1,60,0.000000,241,125648,1
11.799842,60,71,-1,60,0.099993,241,125648,1
11.799843,60,71,-1,60,0.000001,241,125648,1
11.899890,60,71,-1,60,0.100047,241,125648,1
11.899890,60,71,-1,60,0.000000,241,125648,1
11.999852,60,71,-1,60,0.099962,241,125648,1
11.999852,60,71,-1,60,0.000000,241,125648,1
12.099870,60,71,-1,60,0.100018,241,125648,1
12.099870,60,71,-1,60,0.000000,241,125648,1
13.600021,60,67,-1,60,1.500151,1,125648,1
13.600021,60,67,-1,60,0.000000,2,125648,1
14.299906,60,67,-1,60,0.699885,1,125648,1
14.299906,60,67,-1,60,0.000000,2,125648,1
15.299817,60,67,-1,60,0.999911,240,125648,1
