t,nxt,plen,icmpv6_type,l4,iat,hlim,flow,label
0.000000,17,50,-1,17,0.000000,1,265485,1
0.012331,17,50,-1,17,0.012331,2,265485,1
0.013993,17,50,-1,17,0.001662,3,265485,1
0.027614,17,50,-1,17,0.013621,4,265485,1
0.030336,17,50,-1,17,0.002722,5,265485,1
0.044506,17,50,-1,17,0.014170,6,265485,1
0.047485,17,50,-1,17,0.002979,7,265485,1
0.061295,17,50,-1,17,0.013810,8,265485,1
0.063071,17,50,-1,17,0.001776,9,265485,1
0.068975,17,50,-1,17,0.005904,10,265485,1
0.070748,17,50,-1,17,0.001773,11,265485,1
0.085392,17,50,-1,17,0.014644,12,265485,1
0.087149,17,50,-1,17,0.001757,13,265485,1
0.101676,17,50,-1,17,0.014527,14,265485,1
0.103458,17,50,-1,17,0.001782,15,265485,1
0.118254,17,50,-1,17,0.014796,16,265485,1
1.041778,17,50,-1,17,0.923524,1,265485,1
1.048132,17,50,-1,17,0.006354,2,265485,1
1.049481,17,50,-1,17,0.001349,3,265485,1
1.051271,17,50,-1,17,0.001790,4,265485,1
1.065889,17,50,-1,17,0.014618,5,265485,1
1.079813,17,50,-1,17,0.013924,6,265485,1
1.082106,17,50,-1,17,0.002293,7,265485,1
1.088622,17,50,-1,17,0.006516,8,265485,1
1.090270,17,50,-1,17,0.001648,9,265485,1
1.103556,17,50,-1,17,0.013286,10,265485,1
1.106475,17,50,-1,17,0.002919,11,265485,1
1.121812,17,50,-1,17,0.015337,12,265485,1
1.127520,17,50,-1,17,0.005708,13,265485,1
1.129313,17,50,-1,17,0.001793,14,265485,1
1.130985,17,50,-1,17,0.001672,15,265485,1
1.145629,17,50,-1,17,0.014644,16,265485,1
2.190714,6,62,-1,6,1.045085,1,265485,1
2.206335,6,62,-1,6,0.015621,2,265485,1
2.212809,6,62,-1,6,0.006474,3,265485,1
2.214983,6,62,-1,6,0.002174,4,265485,1
2.230110,6,62,-1,6,0.015127,5,265485,1
2.245269,6,62,-1,6,0.015159,6,265485,1
2.259629,6,62,-1,6,0.014360,7,265485,1
2.263192,6,62,-1,6,0.003563,8,265485,1
2.269780,6,62,-1,6,0.006588,9,265485,1
2.283599,6,62,-1,6,0.013819,10,265485,1
2.293067,6,63,-1,6,0.009468,11,265485,1
2.295234,6,63,-1,6,0.002167,12,265485,1
2.318288,6,63,-1,6,0.023054,13,265485,1
2.324352,6,63,-1,6,0.006064,14,265485,1
2.326527,6,63,-1,6,0.002175,15,265485,1
2.349174,6,63,-1,6,0.022647,16,265485,1
3.202403,6,63,-1,6,0.853229,1,265485,1
3.219366,6,63,-1,6,0.016963,2,265485,1
3.225936,6,63,-1,6,0.006570,3,265485,1
3.227693,6,63,-1,6,0.001757,4,265485,1
3.242581,6,63,-1,6,0.014888,5,265485,1
3.259467,6,63,-1,6,0.016886,6,265485,1
3.265793,6,63,-1,6,0.006326,7,265485,1
3.279651,6,63,-1,6,0.013858,8,265485,1
3.288804,6,63,-1,6,0.009153,9,265485,1
3.291077,6,63,-1,6,0.002273,10,265485,1
3.306764,6,63,-1,6,0.015687,11,265485,1
3.314011,6,63,-1,6,0.007247,12,265485,1
3.315506,6,63,-1,6,0.001495,13,265485,1
3.345711,6,63,-1,6,0.030205,14,265485,1
3.361385,6,63,-1,6,0.015674,15,265485,1
3.378871,6,63,-1,6,0.017486,16,265485,1
5.812292,60,59,-1,60,2.433421,1,265485,1
5.816020,60,59,-1,60,0.003728,2,265485,1
5.879284,60,59,-1,60,0.063264,3,265485,1
5.884397,60,59,-1,60,0.005113,4,265485,1
5.887636,60,59,-1,60,0.003239,5,265485,1
6.360373,60,59,-1,60,0.472737,2,265485,1
6.361949,60,59,-1,60,0.001576,3,265485,1
