axis,seqLength,depth,delayRes,top_corr,top_support,attempts,top_rule
seqLength,2,5,1.0,92.283140,79.781324,1,!PLEN_MED|=> ##[ 0.000000 : 2.000000 ] !HAS_FRAG_EH
seqLength,3,5,1.0,92.662426,80.109228,2,!PLEN_MED|=> ##[ 0.000000 : 3.000000 ] !HAS_FRAG_EH
seqLength,4,5,1.0,93.039854,80.435524,2,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
seqLength,5,5,1.0,93.404034,80.750368,1,!PLEN_MED|=> ##[ 0.000000 : 5.000000 ] !HAS_FRAG_EH
depth,4,3,1.0,93.039854,80.435524,2,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
depth,4,4,1.0,93.039854,80.435524,2,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
depth,4,5,1.0,93.039854,80.435524,3,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
depth,4,6,1.0,93.039854,80.435524,1,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
delayRes,4,5,0.5,92.283140,79.781324,1,!PLEN_MED|=> ##[ 0.000000 : 2.000000 ] !HAS_FRAG_EH
delayRes,4,5,1.0,93.039854,80.435524,1,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
delayRes,4,5,2.0,94.406444,81.616979,1,!PLEN_MED|=> ##[ 0.000000 : 8.000000 ] !HAS_FRAG_EH
DONE_ABLATION_RETRY
